After minimisation    1385.30  1128     1.228

Chi2 Bartlett factor (rescales the chi2) =     0.992674
Confidence Intervals Bartlett factor (rescales PDF uncertainties) =     1.262771
  Partial chi2s 
Dataset    1    456.04( +7.88)   377  HERA1+2 NCep 920                                
Dataset    2     69.75( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    220.04( +1.05)   254  HERA1+2 NCep 575                                
Dataset    4    220.82( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    216.65( -0.22)   159  HERA1+2 NCem                                    
Dataset    6     44.22( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     54.68( -2.12)    42  HERA1+2 CCem                                    

 Correlated Chi2    96.997824338518555     
 Log penalty Chi2    6.0921630229302863     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error  Bartlett      Type
  127  sysHZComb1104                         -1.5674   +/-   0.7901    1.0000        :N:M:D
  128  sysHZComb1105                          1.1635   +/-   0.6980    1.0000        :N:M:D
  129  sysHZComb1106                         -0.5728   +/-   0.7692    1.0000        :N:M:D
  130  sysHZComb1107                          0.7890   +/-   0.7476    1.0000        :N:M:D
  131  sysHZComb1108                          1.6195   +/-   0.6819    1.0000        :N:M:D
  132  sysHZComb1109                          0.2199   +/-   0.9888    1.0000        :N:M:D
  133  sysHZComb1112                          0.4270   +/-   0.9900    1.0000        :N:M:D
  134  sysHZComb1113                          1.6000   +/-   0.8379    1.0000        :N:M:D
  135  sysHZComb1114                          1.7834   +/-   0.8026    1.0000        :N:M:D
  136  sysHZComb1115                          1.1374   +/-   0.7528    1.0000        :N:M:D
  137  sysHZComb1116                         -0.1642   +/-   0.7704    1.0000        :N:M:D
  138  sysHZComb1117                          0.5788   +/-   0.8204    1.0000        :N:M:D
  139  sysHZComb1118                         -0.2590   +/-   0.9965    1.0000        :N:M:D
  140  sysHZComb1119                          0.3342   +/-   0.9742    1.0000        :N:M:D
  141  sysHZComb1120                          0.6220   +/-   0.8542    1.0000        :N:M:D
  142  sysHZComb1128                         -0.3697   +/-   0.9547    1.0000        :N:M:D
  143  sysHZComb1129                          0.2117   +/-   0.8562    1.0000        :N:M:D
  144  sysHZComb1130                          0.2570   +/-   0.8035    1.0000        :N:M:D
  145  sysHZComb1132                         -0.5804   +/-   0.7879    1.0000        :N:M:D
  146  sysHZComb1133                          0.3374   +/-   0.8174    1.0000        :N:M:D
  147  sysHZComb1135                         -1.3569   +/-   0.8176    1.0000        :N:M:D
  148  sysHZComb1136                          0.3939   +/-   0.8773    1.0000        :N:M:D
  149  sysHZComb1137                         -0.3540   +/-   0.8836    1.0000        :N:M:D
  150  sysHZComb1138                          0.4672   +/-   0.9212    1.0000        :N:M:D
  151  sysHZComb1139                         -0.9972   +/-   0.9406    1.0000        :N:M:D
  152  sysHZComb1140                         -0.2950   +/-   0.9579    1.0000        :N:M:D
  153  sysHZComb1141                         -0.2128   +/-   0.9710    1.0000        :N:M:D
  154  sysHZComb1142                          1.0629   +/-   0.8595    1.0000        :N:M:D
  155  sysHZComb1143                          0.5032   +/-   0.8517    1.0000        :N:M:D
  156  sysHZComb1144                          1.4733   +/-   0.8414    1.0000        :N:M:D
  157  sysHZComb1145                          0.4949   +/-   0.9854    1.0000        :N:M:D
  158  sysHZComb1147                          0.6894   +/-   0.8035    1.0000        :N:M:D
  159  sysHZComb1148                         -0.6486   +/-   0.7903    1.0000        :N:M:D
  160  sysHZComb1150                         -0.3524   +/-   0.7913    1.0000        :N:M:D
  161  sysHZComb1151                          0.0506   +/-   0.9628    1.0000        :N:M:D
  162  sysHZComb1152                          0.6957   +/-   0.7350    1.0000        :N:M:D
  163  sysHZComb1153                         -1.3792   +/-   0.8351    1.0000        :N:M:D
  164  sysHZComb1157                          1.0588   +/-   0.7206    1.0000        :N:M:D
  165  sysHZComb1158                          0.1022   +/-   0.7972    1.0000        :N:M:D
