!
! This datafile is a successor of the Dataset 3.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 94-97'
   NData =  130                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_10','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',9*'ignore','xlum_3','corlum'

   NInfo    = 4
   DataInfo =  301.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 3

   Reaction = 'NC e+-p'

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	u^E+	u^th+	u^h+	F2	Dall	DF2	DF3	DFL	Dqed	xlum	corlum

   Percent = 20*true

&END
0.1300	1200.		0.102	0.391	6.800	3.500	1.100	7.800	0.700	-0.300	0.300	0.800	0.000	0.800	0.500	0.100	0.391	0.000	1.500	-1.200	0.000	8.800	1.414	0.500
0.1800	1200.		0.074	0.338	7.500	4.300	2.100	8.900	1.800	-0.600	-0.700	0.400	0.000	1.900	1.300	0.900	0.337	0.100	1.400	-1.000	0.000	8.300	1.414	0.500
0.2500	1200.		0.053	0.250	8.700	5.300	4.100	10.900	3.000	0.200	-1.200	-2.500	0.000	2.900	0.400	2.500	0.249	0.300	1.400	-0.800	0.000	7.500	1.414	0.500
0.4000	1200.		0.033	0.129	12.100	5.700	6.300	14.800	3.600	-0.400	-1.800	-4.800	0.000	3.400	0.800	2.100	0.129	0.500	1.200	-0.500	0.000	5.200	1.414	0.500
0.6500	1200.		0.020	0.017	24.200	11.100	13.600	29.900	5.900	-0.800	-3.400	-11.700	0.000	5.800	1.600	6.900	0.017	0.600	1.100	-0.300	0.000	-0.100	1.414	0.500
0.0200	1500.		0.828	0.789	9.200	4.800	1.700	10.500	-0.700	-0.300	-1.000	-0.600	-0.900	2.700	0.600	1.000	0.855	-7.700	2.400	-3.500	-6.100	9.700	1.414	0.500
0.0320	1500.		0.518	0.581	8.100	4.000	1.700	9.200	-0.200	-0.600	1.100	1.000	-0.400	0.600	1.200	1.700	0.601	-3.200	2.400	-3.500	-1.700	9.900	1.414	0.500
0.0500	1500.		0.331	0.486	7.200	3.600	1.400	8.100	0.400	-0.300	0.700	1.100	-0.100	0.400	0.700	1.200	0.494	-1.600	2.300	-3.000	-0.400	9.700	1.414	0.500
0.0800	1500.		0.207	0.457	6.800	3.500	1.000	7.800	0.900	-0.400	0.200	0.200	0.000	0.900	0.700	0.300	0.461	-0.800	2.200	-2.500	-0.100	9.400	1.414	0.500
0.1300	1500.		0.127	0.376	8.000	3.700	1.300	8.900	0.600	-0.200	0.300	1.000	0.000	0.700	0.500	0.600	0.377	-0.200	2.100	-1.900	0.000	9.000	1.414	0.500
0.1800	1500.		0.092	0.345	8.600	4.000	1.200	9.600	1.100	0.400	0.200	-0.400	0.000	0.900	0.800	0.800	0.345	0.100	2.000	-1.500	0.000	8.500	1.414	0.500
0.2500	1500.		0.066	0.268	9.400	4.900	3.100	11.000	2.700	-0.400	-1.100	-1.000	0.000	2.600	0.800	1.600	0.267	0.400	1.900	-1.100	0.000	7.700	1.414	0.500
