!
! This datafile is a successor of the Dataset 5.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e-p 98-99'
   NData =  126                        ! Number of data points
   NColumn =  22                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',18*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',7*'ignore','xlum_4','corlum'

   NInfo    = 4
   DataInfo =  319.,	-1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 5

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E	c^th	c^h	c^N	c^B	u^E	u^h	F2	dall	dF2	dF3	dFL	xlum	corlum

   Percent = 18*true

&END	
0.0200	1000.		0.492	0.787	7.900	4.300	1.900	9.200	1.000	-0.900	1.300	0.100	-0.200	1.500	1.300	0.778	1.200	1.400	1.600	-1.800	1.729	0.500
0.0320	1000.		0.308	0.572	9.000	4.200	1.300	10.000	0.400	-0.800	0.900	0.200	-0.100	0.800	1.200	0.560	2.300	1.300	1.400	-0.500	1.729	0.500
0.0500	1000.		0.197	0.577	8.400	4.300	1.300	9.500	0.100	-1.000	0.500	0.500	0.000	0.500	1.400	0.564	2.400	1.300	1.200	-0.200	1.729	0.500
0.0800	1000.		0.123	0.450	9.300	4.900	2.800	10.800	2.300	-1.100	-1.000	-0.300	0.000	2.400	1.200	0.440	2.200	1.200	1.000	0.000	1.729	0.500
0.1300	1000.		0.076	0.491	10.300	5.000	1.900	11.600	-1.300	-1.400	0.400	0.300	0.000	1.100	0.200	0.482	1.900	1.200	0.800	0.000	1.729	0.500
0.1800	1000.		0.055	0.249	13.500	5.400	1.600	14.600	1.200	-0.800	-0.300	-0.400	0.000	1.900	1.100	0.245	1.700	1.100	0.600	0.000	1.729	0.500
0.2500	1000.		0.039	0.311	13.000	8.200	4.200	15.900	2.700	-2.200	-2.000	1.000	0.000	5.300	2.800	0.306	1.500	1.100	0.500	0.000	1.729	0.500
0.4000	1000.		0.025	0.122	22.900	13.300	4.400	26.900	2.900	0.800	-1.800	-2.700	0.000	9.600	4.200	0.120	1.300	1.000	0.300	0.000	1.729	0.500
0.0200	1200.		0.591	0.839	9.100	3.600	1.800	10.000	-0.600	-0.900	1.300	0.000	-0.600	0.700	0.800	0.829	1.300	1.800	2.300	-2.700	1.729	0.500
0.0320	1200.		0.369	0.719	9.200	3.500	1.100	9.900	0.300	-0.600	0.900	0.100	0.000	0.400	1.400	0.698	3.000	1.700	2.100	-0.700	1.729	0.500
0.0500	1200.		0.236	0.645	9.300	3.500	0.700	9.900	-0.100	-0.300	0.600	0.200	0.000	1.100	0.700	0.624	3.200	1.700	1.800	-0.200	1.729	0.500
0.0800	1200.		0.148	0.415	10.700	3.400	0.600	11.200	0.400	-0.200	0.200	0.300	0.000	0.800	0.600	0.403	3.000	1.600	1.400	-0.100	1.729	0.500
0.1300	1200.		0.091	0.384	12.600	4.300	1.200	13.400	1.000	0.300	-0.300	-0.500	0.000	2.200	0.600	0.375	2.600	1.500	1.100	0.000	1.729	0.500
0.1800	1200.		0.066	0.341	13.600	4.700	2.300	14.600	1.900	-0.700	-0.900	0.600	0.000	2.500	0.600	0.333	2.300	1.400	0.900	0.000	1.729	0.500
0.2500	1200.		0.047	0.251	15.800	6.400	2.900	17.300	2.600	-1.100	-0.500	0.200	0.000	4.500	1.800	0.246	2.000	1.400	0.700	0.000	1.729	0.500
0.4000	1200.		0.030	0.110	25.000	10.200	6.200	27.700	4.200	-1.100	-3.200	-3.200	0.000	7.700	4.000	0.109	1.700	1.300	0.400	0.000	1.729	0.500
0.0200	1500.		0.738	0.860	12.400	5.200	1.400	13.500	-0.800	-0.400	-0.400	-0.200	-1.000	0.100	1.300	0.850	1.200	2.400	3.400	-4.600	1.729	0.500
0.0320	1500.		0.462	0.704	10.400	4.300	1.800	11.400	-0.600	-0.600	1.600	0.200	-0.100	1.500	2.200	0.675	4.300	2.400	3.200	-1.200	1.729	0.500
0.0500	1500.		0.295	0.515	11.700	3.500	0.800	12.200	0.400	-0.600	0.400	0.100	0.000	0.500	0.500	0.492	4.700	2.300	2.700	-0.400	1.729	0.500
0.0800	1500.		0.185	0.512	11.000	3.800	1.400	11.700	0.700	-1.100	0.400	0.200	0.000	1.400	0.900	0.490	4.300	2.200	2.200	-0.100	1.729	0.500
0.1300	1500.		0.114	0.390	13.900	4.700	1.800	14.800	1.600	-0.700	0.400	-0.200	0.000	2.800	0.700	0.376	3.700	2.100	1.700	0.000	1.729	0.500
0.1800	1500.		0.082	0.260	18.600	4.200	1.100	19.100	-0.900	-0.400	0.300	0.500	0.000	0.300	1.000	0.251	3.300	2.000	1.300	0.000	1.729	0.500
0.2500	1500.		0.059	0.197	19.600	6.900	3.400	21.100	2.900	-0.400	-1.700	-0.300	0.000	4.500	3.100	0.191	2.900	1.900	1.000	0.000	1.729	0.500
0.4000	1500.		0.037	0.145	24.300	10.600	7.300	27.400	6.000	-1.700	-3.200	-2.100	0.000	7.800	4.100	0.142	2.400	1.700	0.700	0.000	1.729	0.500
0.6500	1500.		0.023	0.014	35.400	14.500	7.200	38.900	5.800	-0.300	-2.700	-3.300	0.000	10.700	6.400	0.013	2.000	1.600	0.400	0.000	1.729	0.500
0.0320	2000.		0.615	0.796	11.100	3.900	2.000	11.900	0.300	-1.300	1.500	0.000	-0.500	0.900	0.900	0.747	6.600	3.600	5.400	-2.400	1.729	0.500
0.0500	2000.		0.394	0.599	13.000	4.400	2.300	13.900	1.300	-1.400	1.200	0.200	0.000	1.700	1.800	0.557	7.600	3.500	4.800	-0.700	1.729	0.500
0.0800	2000.		0.246	0.582	12.300	4.000	1.500	13.000	1.300	-0.800	0.300	0.100	0.000	1.500	0.400	0.544	7.000	3.300	3.900	-0.200	1.729	0.500
0.1300	2000.		0.152	0.224	20.000	4.400	1.500	20.600	-1.000	-0.900	-0.600	-0.400	0.000	1.700	0.900	0.212	6.000	3.100	2.900	0.000	1.729	0.500
0.1800	2000.		0.109	0.249	21.900	5.700	2.600	22.700	2.200	0.800	0.900	0.800	0.000	3.500	1.200	0.236	5.200	3.000	2.300	0.000	1.729	0.500
0.2500	2000.		0.079	0.197	22.400	6.100	2.900	23.400	2.600	-1.200	-0.200	-0.600	0.000	3.800	1.200	0.188	4.500	2.800	1.800	0.000	1.729	0.500
0.4000	2000.		0.049	0.108	27.700	9.200	4.200	29.500	3.200	-0.700	-2.000	-1.800	0.000	6.600	3.100	0.104	3.700	2.600	1.100	0.000	1.729	0.500
0.0500	3000.		0.591	0.606	10.600	5.800	2.700	12.400	0.600	0.200	1.900	0.200	-1.700	2.000	2.200	0.530	14.400	6.000	10.000	-1.700	1.729	0.500
0.0800	3000.		0.369	0.556	10.900	4.400	0.900	11.800	-0.300	-0.200	0.800	0.100	0.000	2.000	1.600	0.489	13.600	5.700	8.300	-0.400	1.729	0.500
0.1300	3000.		0.227	0.464	12.400	3.900	1.000	13.000	-0.800	-0.400	-0.500	0.200	0.000	0.900	0.600	0.416	11.400	5.400	6.200	-0.100	1.729	0.500
0.1800	3000.		0.164	0.347	15.300	4.600	2.200	16.100	1.900	-1.000	0.300	0.200	0.000	2.300	0.100	0.315	9.900	5.100	4.800	0.000	1.729	0.500
0.2500	3000.		0.118	0.255	17.800	6.400	2.900	19.100	2.700	0.300	-0.600	0.600	0.000	4.300	1.700	0.235	8.500	4.800	3.700	0.000	1.729	0.500
0.4000	3000.		0.074	0.128	23.000	9.700	5.000	25.500	3.700	0.200	-2.800	-1.800	0.000	7.400	3.400	0.120	6.800	4.400	2.400	0.000	1.729	0.500
0.0800	5000.		0.615	0.707	10.600	4.400	2.000	11.700	0.400	-0.700	1.800	0.100	-0.300	1.400	2.100	0.545	29.700	10.800	20.300	-1.400	1.729	0.500
0.1300	5000.		0.379	0.536	13.100	5.200	1.100	14.200	0.300	0.500	0.900	0.100	0.000	2.900	1.600	0.428	25.200	10.100	15.400	-0.300	1.729	0.500
0.1800	5000.		0.274	0.442	14.000	5.100	0.900	14.900	-0.700	-0.500	0.300	-0.300	0.000	3.000	0.300	0.364	21.500	9.600	12.000	-0.100	1.729	0.500
0.2500	5000.		0.197	0.361	17.400	9.600	4.300	20.300	3.700	1.500	-1.700	0.100	0.000	8.000	2.200	0.306	18.000	9.000	9.000	0.000	1.729	0.500
0.4000	5000.		0.123	0.091	31.600	10.900	1.900	33.500	1.500	0.800	0.800	-0.300	0.000	8.900	1.200	0.080	14.000	8.300	5.700	0.000	1.729	0.500
0.6500	5000.		0.076	0.010	41.000	17.700	6.500	45.100	5.700	1.300	-2.600	-1.200	0.000	15.700	5.000	0.009	11.100	7.600	3.500	0.000	1.729	0.500
0.1300	8000.		0.606	0.722	16.000	6.200	1.900	17.200	1.400	-0.200	1.300	0.300	-0.300	3.400	2.100	0.485	49.000	16.600	33.300	-0.900	1.729	0.500
0.1800	8000.		0.438	0.386	20.400	5.300	2.300	21.200	-1.000	-1.600	1.400	0.100	0.000	1.500	1.700	0.272	41.800	15.700	26.400	-0.300	1.729	0.500
0.2500	8000.		0.315	0.295	21.800	7.400	3.500	23.300	2.800	2.000	-0.700	-0.200	0.000	5.200	0.800	0.219	34.500	14.800	19.800	-0.100	1.729	0.500
0.4000	8000.		0.197	0.197	27.700	16.700	2.100	32.400	1.300	1.500	0.700	0.300	0.000	14.900	1.000	0.156	26.000	13.600	12.500	0.000	1.729	0.500
0.1800	12000.		0.656	0.471	27.800	7.100	2.700	28.800	1.600	-1.800	-1.200	-0.300	-0.100	1.900	0.700	0.277	70.000	22.300	48.600	-0.900	1.729	0.500
0.2500	12000.		0.473	0.298	28.900	8.200	2.700	30.200	-0.700	-1.200	2.300	0.300	0.000	5.200	2.300	0.189	58.100	21.000	37.400	-0.300	1.729	0.500
0.4000	12000.		0.295	0.083	50.000	18.100	7.600	53.700	6.300	4.300	-0.700	0.000	0.000	16.200	0.200	0.058	42.700	19.300	23.500	-0.100	1.729	0.500
0.2500	20000.		0.788	0.349	51.100	10.600	2.200	52.200	0.700	1.800	0.700	0.000	-0.600	2.500	0.500	0.174	101.100	29.400	72.800	-1.100	1.729	0.500
0.4000	20000.		0.492	0.182	44.700	13.100	2.300	46.700	1.400	-1.600	0.900	0.000	0.000	8.800	1.900	0.103	76.300	27.000	49.500	-0.200	1.729	0.500
0.6500	20000.		0.303	0.014	70.700	34.400	13.400	79.800	9.900	8.900	-1.000	0.000	0.000	31.700	2.700	0.009	54.200	24.800	29.400	0.000	1.729	0.500
0.4000	30000.		0.738	0.268	70.700	16.900	4.700	72.900	-3.500	-2.400	-2.000	0.000	0.000	4.800	0.700	0.125	113.700	32.800	81.400	-0.600	1.729	0.500
