   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.524772E-01   2.13987      0.629927      0.499530      0.206006      0.254021      0.423921      0.245509      0.460027      0.181742      0.148345      0.105535      0.242647E-01   0.00000       0.00000    
  0.575400E-01   2.04353      0.640701      0.497601      0.195642      0.236745      0.445059      0.260857      0.432387      0.172830      0.138318      0.982895E-01  0.228129E-01   0.00000       0.00000    
  0.630913E-01   1.94464      0.651597      0.495858      0.185130      0.219461      0.466466      0.276397      0.404592      0.163785      0.128276      0.910528E-01  0.213459E-01   0.00000       0.00000    
  0.691782E-01   1.84346      0.662516      0.494195      0.174492      0.202231      0.488024      0.291964      0.376723      0.154621      0.118255      0.838494E-01  0.198706E-01   0.00000       0.00000    
  0.758523E-01   1.74015      0.673362      0.492499      0.163745      0.185119      0.509617      0.307380      0.348864      0.145351      0.108292      0.767059E-01  0.183934E-01   0.00000       0.00000    
  0.831703E-01   1.63472      0.683990      0.490590      0.152902      0.168232      0.531088      0.322357      0.321134      0.135980      0.984507E-01  0.696676E-01  0.169225E-01   0.00000       0.00000    
  0.911943E-01   1.52767      0.694271      0.488283      0.142002      0.151653      0.552268      0.336630      0.293655      0.126536      0.887792E-01  0.627670E-01  0.154661E-01   0.00000       0.00000    
  0.999925E-01   1.41935      0.704091      0.485402      0.131075      0.135444      0.573016      0.349957      0.266519      0.117046      0.793166E-01  0.560286E-01  0.140289E-01   0.00000       0.00000    
  0.109639       1.31030      0.713281      0.481703      0.120167      0.119723      0.593115      0.361980      0.239890      0.107544      0.701312E-01  0.495009E-01  0.126224E-01   0.00000       0.00000    
  0.120217       1.20100      0.721544      0.476767      0.109334      0.104672      0.612210      0.372095      0.214006      0.980736E-01  0.613297E-01  0.432593E-01  0.112601E-01   0.00000       0.00000    
  0.131815       1.09210      0.728719      0.470368      0.986242E-01  0.903444E-01  0.630095      0.380023      0.188969      0.886775E-01  0.529456E-01  0.373239E-01  0.994671E-02   0.00000       0.00000    
  0.144533      0.984345      0.734455      0.462070      0.881099E-01  0.768905E-01  0.646345      0.385179      0.165000      0.794162E-01  0.450679E-01  0.317561E-01  0.869365E-02   0.00000       0.00000    
  0.158477      0.878421      0.738462      0.451591      0.778510E-01  0.643771E-01  0.660611      0.387214      0.142228      0.703444E-01  0.377368E-01  0.265817E-01  0.750665E-02   0.00000       0.00000    
  0.173766      0.775266      0.740185      0.438433      0.679401E-01  0.529505E-01  0.672245      0.385482      0.120891      0.615429E-01  0.310394E-01  0.218603E-01  0.639723E-02   0.00000       0.00000    
  0.190530      0.675580      0.739171      0.422366      0.584409E-01  0.426387E-01  0.680730      0.379727      0.101080      0.530722E-01  0.249933E-01  0.176022E-01  0.536876E-02   0.00000       0.00000    
  0.208912      0.580455      0.734527      0.402910      0.494641E-01  0.335614E-01  0.685063      0.369348      0.830254E-01  0.450322E-01  0.196694E-01  0.138557E-01  0.443184E-02   0.00000       0.00000    
  0.229067      0.490518      0.725564      0.380000      0.410676E-01  0.256882E-01  0.684497      0.354312      0.667558E-01  0.374810E-01  0.150512E-01  0.106072E-01  0.358658E-02   0.00000       0.00000    
  0.251167      0.406941      0.710921      0.353326      0.333709E-01  0.190863E-01  0.677550      0.334240      0.524572E-01  0.305294E-01  0.111785E-01  0.788383E-02  0.284145E-02   0.00000       0.00000    
  0.275399      0.330162      0.689685      0.323139      0.264114E-01  0.136550E-01  0.663274      0.309484      0.400664E-01  0.242188E-01  0.799295E-02  0.564333E-02  0.219253E-02   0.00000       0.00000    
