* info from hepdata: 
*EXPeriment     = CERN-NA-4                      
*REACtion       = muon P --> muon X 
*Plab           = 280 GeV                                   
*Collaboration  = BCDMS                   
*Author         = Benvenuti et al 
*REFerence      = Phys. Lett. 223B (1989) 485    
*Additional info: The combined energy proton structure function as measured 
*                 by the BCDMS Collaboration in muon-proton deep inelastic 
*                 scattering.
*
* additional info:
*REFerence 	= Cern-ep-89-170.pdf, Cern-ep-89-06.pdf
*Data measured at 280 GeV beam energy
*The columns are: x, Q^2, inelastisity Y, reduced c.s.=F_2*(1-Y....,
*uncorrelated error, the number of syst. errors, correlated errors (all
*errors in percent):*
*  due to the beam momentum calibration, due to the spectrometer magnetic
*field calibration, uncertainty in the spectrometer resolution,
*uncertainty in the detector and trigger inefficiencies, uncertainty in
*the relative normalization of data from external and internal targets,
*the absolute normalization of the data taken at the beam energy of 200
*GeV, the relative normalization of the data taken at other energies 
*(100, 120, and 280 GeV).
* the last column corresponds to 1.3sigma systematic shift due to the 
*beam energy or spectrometer resolution.
*and was not included in the original table
&Data
	 Name = 'BCDMS F2p 280GeV'

	 Reaction = 'muon p'

         NDATA = 75

         NColumn = 17
	 ColumnType = 3*'Bin','Sigma','Error','Dummy',11*'Error'
	 ColumnName = 'x','Q2','y','reduced x-section',
                      'stat','ignore','bcdms_b','bcdms_s','bcdms_r',
		      'bcdms_d', 'bcdms_nt','bcdms_na','bcdms_nr1',
		      'bcdms_nr2','ignore','bcdms_nr3', 'bcdms_sh'

         Percent  = 11*true

         NInfo 	  = 3
         DataInfo =     -1.,	    1.,        0.
	 CInfo 	  = 'e charge',	'reduced', 'e polarity'
	 IndexDataset = 93
&End
 0.450    57.00  0.241141  0.13211  2.24 10 0.10 0.90 -0.60 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.35451
 0.450    65.50  0.277101  0.12867  2.39 10 0.10 0.80 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.28211
 0.450    75.00  0.317291  0.13325  2.45 10 0.00 0.70 -0.20 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.2265
 0.450    86.00  0.363827  0.12660  2.50 10 0.00 0.60 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.2245
 0.450    99.00  0.418824  0.13142  2.56 10 -0.10 0.60 -0.20 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.20244
 0.450   115.50  0.488628  0.11975  2.75 10 -0.10 0.50 -0.40 0.00 0.10 3.00 0.00 0.00 0.00 1.00 4.19842
 0.450   137.50  0.5817    0.11797  3.29 10 -0.10 0.50 -0.10 0.00 0.00 3.00 0.00 0.00 0.00 1.00 4.16609
 0.450   175.00  0.740346  0.11841  3.08 10 -0.20 0.40 -0.20 0.00 0.00 3.00 0.00 0.00 0.00 1.00 4.16
 0.550    43.00  0.148838  0.07503  4.65 10 1.20 2.70 -0.50 0.00 0.50 3.00 0.00 0.00 0.00 1.00 5.70076
 0.550    49.50  0.171337  0.07680  4.53 10 1.00 2.40 -0.60 0.00 0.50 3.00 0.00 0.00 0.00 1.00 5.41805
 0.550    57.00  0.197297  0.07392  2.99 10 0.80 2.10 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 5.07666
 0.550    65.50  0.226719  0.06995  3.35 10 0.60 1.80 -0.40 0.00 0.20 3.00 0.00 0.00 0.00 1.00 4.82929
