   4.000000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.398081E-01   2.49530      0.609942      0.490741      0.223762      0.280829      0.386180      0.209912      0.504591      0.200332      0.184448      0.963812E-01  0.234295E-01   0.00000    
  0.436487E-01   2.40369      0.617925      0.488684      0.216615      0.270351      0.401309      0.218333      0.486966      0.194785      0.177853      0.924979E-01  0.218306E-01   0.00000    
  0.478598E-01   2.30954      0.625943      0.486517      0.209475      0.259789      0.416468      0.226728      0.469264      0.189216      0.171190      0.885994E-01  0.202597E-01   0.00000    
  0.524772E-01   2.21280      0.633932      0.484181      0.202342      0.249141      0.431590      0.235040      0.451483      0.183623      0.164455      0.846863E-01  0.187192E-01   0.00000    
  0.575400E-01   2.11316      0.641797      0.481569      0.195215      0.238397      0.446582      0.243172      0.433613      0.177999      0.157639      0.807582E-01  0.172162E-01   0.00000    
  0.630913E-01   2.01082      0.649453      0.478606      0.188096      0.227565      0.461356      0.251041      0.415661      0.172344      0.150747      0.768181E-01  0.157523E-01   0.00000    
  0.691782E-01   1.90599      0.656821      0.475217      0.180985      0.216653      0.475836      0.258565      0.397638      0.166656      0.143783      0.728692E-01  0.143291E-01   0.00000    
  0.758523E-01   1.79878      0.663810      0.471306      0.173883      0.205666      0.489928      0.265640      0.379548      0.160932      0.136751      0.689147E-01  0.129503E-01   0.00000    
  0.831703E-01   1.68914      0.670255      0.466674      0.166792      0.194605      0.503462      0.272070      0.361397      0.155166      0.129646      0.649590E-01  0.116263E-01   0.00000    
  0.911943E-01   1.57753      0.676067      0.461235      0.159716      0.183488      0.516351      0.277747      0.343204      0.149358      0.122480      0.610080E-01  0.103581E-01   0.00000    
  0.999925E-01   1.46432      0.681167      0.454905      0.152648      0.172326      0.528519      0.282579      0.324974      0.143504      0.115262      0.570645E-01  0.914399E-02   0.00000    
  0.109639       1.35000      0.685414      0.447541      0.145601      0.161145      0.539813      0.286396      0.306746      0.137608      0.108005      0.531401E-01  0.799317E-02   0.00000    
  0.120217       1.23504      0.688519      0.438844      0.138578      0.149966      0.549941      0.288877      0.288545      0.131660      0.100720      0.492467E-01  0.691828E-02   0.00000    
  0.131815       1.12016      0.690382      0.428766      0.131579      0.138817      0.558804      0.289950      0.270395      0.125663      0.934257E-01  0.453910E-01  0.591584E-02   0.00000    
  0.144533       1.00616      0.690692      0.417078      0.124604      0.127730      0.566088      0.289348      0.252334      0.119611      0.861436E-01  0.415866E-01  0.499328E-02   0.00000    
  0.158477      0.893854      0.689219      0.403696      0.117656      0.116741      0.571563      0.286955      0.234397      0.113506      0.788966E-01  0.378439E-01  0.415034E-02   0.00000    
  0.173766      0.784338      0.685476      0.388386      0.110736      0.105897      0.574740      0.282489      0.216633      0.107342      0.717160E-01  0.341807E-01  0.339352E-02   0.00000    
  0.190530      0.678501      0.679096      0.371116      0.103842      0.952387E-01  0.575254      0.275877      0.199081      0.101122      0.646304E-01  0.306084E-01  0.272025E-02   0.00000    
  0.208912      0.577675      0.669313      0.351686      0.969750E-01  0.848317E-01  0.572338      0.266854      0.181807      0.948399E-01  0.576828E-01  0.271489E-01  0.213513E-02   0.00000    
  0.229068      0.482693      0.655580      0.330158      0.901317E-01  0.747205E-01  0.565448      0.255437      0.164852      0.884991E-01  0.509064E-01  0.238141E-01  0.163263E-02   0.00000    
  0.251167      0.395004      0.636776      0.306427      0.833110E-01  0.649880E-01  0.553465      0.241439      0.148299      0.820965E-01  0.443576E-01  0.206303E-01  0.121448E-02   0.00000    
  0.275399      0.315187      0.612230      0.280701      0.765096E-01  0.556809E-01  0.535720      0.225021      0.132190      0.756376E-01  0.380723E-01  0.176086E-01  0.871967E-03   0.00000    
  0.301969      0.244575      0.580563      0.253063      0.697271E-01  0.468996E-01  0.510836      0.206163      0.116627      0.691238E-01  0.321203E-01  0.147792E-01  0.603292E-03   0.00000    
  0.331102      0.183251      0.541293      0.223919      0.629637E-01  0.386873E-01  0.478329      0.185231      0.101651      0.625666E-01  0.265361E-01  0.121512E-01  0.397086E-03   0.00000    
  0.363046      0.132122      0.493307      0.193644      0.562258E-01  0.311578E-01  0.437082      0.162486      0.873836E-01  0.559776E-01  0.214000E-01  0.975772E-02  0.248197E-03   0.00000    
  0.398071      0.905590E-01  0.437056      0.162884      0.495234E-01  0.243415E-01  0.387532      0.138543      0.738649E-01  0.493793E-01  0.167383E-01  0.760318E-02  0.144073E-03   0.00000    
  0.436476      0.584802E-01  0.372983      0.132359      0.428775E-01  0.183328E-01  0.330105      0.114026      0.612104E-01  0.428010E-01  0.126192E-01  0.571359E-02  0.765268E-04   0.00000    
  0.478586      0.351686E-01  0.303193      0.102997      0.363265E-01  0.131913E-01  0.266866      0.898055E-01  0.495178E-01  0.362898E-01  0.908747E-02  0.410387E-02  0.366695E-04   0.00000    
  0.524759      0.192995E-01  0.231214      0.757943E-01  0.299204E-01  0.894693E-02  0.201293      0.668474E-01  0.388673E-01  0.299052E-01  0.616734E-02  0.277959E-02  0.152502E-04   0.00000    
  0.575386      0.941548E-02  0.161905      0.517895E-01  0.237341E-01  0.561048E-02  0.138171      0.461791E-01  0.293446E-01  0.237289E-01  0.386917E-02  0.174131E-02  0.522683E-05   0.00000    
  0.630897      0.393484E-02  0.100925      0.319397E-01  0.178701E-01  0.315692E-02  0.830550E-01  0.287828E-01  0.210270E-01  0.178688E-01  0.217775E-02  0.979176E-03  0.135188E-05   0.00000    
  0.691765      0.133580E-02  0.534742E-01  0.169554E-01  0.124652E-01  0.151600E-02  0.410089E-01  0.154394E-01  0.139812E-01  0.124650E-01  0.104596E-02  0.470044E-03  0.220355E-06   0.00000    
  0.758504      0.340328E-03  0.224340E-01  0.708154E-02  0.769675E-02  0.564837E-03  0.147372E-01  0.651671E-02  0.826159E-02  0.769674E-02  0.389734E-03  0.175103E-03  0.103463E-07   0.00000    
  0.831682      0.601041E-04  0.675638E-02  0.190898E-02  0.380134E-02  0.132520E-03  0.295504E-02  0.177646E-02  0.393386E-02  0.380134E-02  0.914401E-04  0.410801E-04  -.284577E-08   0.00000    
  0.911921      0.575968E-05  0.122739E-02  0.175984E-03  0.108622E-02  0.100071E-04  0.141170E-03  0.165977E-03  0.109623E-02  0.108622E-02  0.690510E-05  0.310195E-05  -.612382E-09   0.00000    
  0.999900      0.150894E-09  0.161880E-06  0.456932E-09  0.161856E-06  0.152229E-10  0.242632E-10  0.441709E-09  0.161871E-06  0.161856E-06  0.105095E-10  0.471348E-11  -.147632E-13   0.00000    
