1.0 29.0 0.4 0.7 0.8 1.0 116.0 150.0 0.030813 2.1689 0.838737758838 2.211 -0.18 0.039 -0.032 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.006 0.019 0.019 -0.006 -0.006 0.006 0.006 -0.013 0.026 -0.019 0.0 -0.013 -0.006 -0.0 -0.0 -0.006 -0.0 -0.0 -0.006 -0.0 -0.006 -0.013 -0.0 0.006 0.013 0.006 -0.013 0.006 -0.013 0.0 -0.006 0.006 -0.006 0.0 -0.154 -0.218 -0.032 -0.013 -0.0 -0.006 -0.0 0.0 0.051 0.064 0.07 -0.0 -0.006 0.038 -0.07 -0.026 -0.045 -0.038 -0.064 -0.032 0.006 -0.051 -0.038 0.0 0.044 0.044 -0.214 0.053 -0.011 -0.01 -0.007 0.073 0.042 0.035 0.01 0.014 0.003 0.01 -0.017 0.024 -0.0 -0.041 0.041 -0.01 0.003 0.014 -0.0 -0.168 -0.013 0.01 -0.106 0.046 0.01 0.062 0.01 0.045 0.026 0.0 -0.006 -0.006 0.047 -0.0 -0.006 0.003 0.003 0.003 -0.006 0.015 -0.026 -0.023 0.003 -0.003 0.0 -0.005 0.0 -0.003 -0.0 -0.002 0.002 -0.005 0.0 0.0 0.006 0.002 -0.006 0.014 -0.002 -0.0 -0.001 0.001 0.0 -0.0 -0.0 -0.0 0.0 0.007 0.003 0.02 0.0 0.002 0.0 0.003 0.006 0.003 2.0 
1.0 30.0 0.7 1.0 0.8 1.0 116.0 150.0 0.02407 2.4674 1.11011643515 3.117 -0.193 0.023 -0.041 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.006 0.041 0.018 -0.018 0.0 0.006 0.0 -0.006 0.047 -0.012 0.023 -0.018 -0.012 0.018 -0.0 0.012 0.006 -0.006 -0.006 -0.006 -0.018 -0.006 0.006 0.0 0.006 0.018 0.0 -0.0 -0.006 0.012 -0.023 0.006 0.006 0.018 -0.181 -0.391 -0.047 -0.006 -0.0 -0.006 -0.0 0.0 0.082 0.07 -0.169 0.0 0.052 0.099 -0.023 0.017 -0.017 -0.064 0.122 0.099 0.006 0.017 0.11 0.052 0.052 0.116 -0.222 -0.028 -0.052 -0.016 -0.0 -0.016 0.048 -0.02 0.016 -0.02 -0.044 -0.012 0.004 0.02 0.012 -0.024 -0.039 -0.012 0.0 0.031 -0.012 -0.108 0.015 -0.019 0.038 -0.046 -0.03 -0.026 0.019 -0.03 -0.041 0.004 -0.015 0.004 0.144 -0.004 -0.007 0.004 0.01 0.0 -0.003 0.013 -0.023 -0.019 -0.0 -0.003 0.0 -0.009 0.003 -0.003 -0.0 -0.006 0.008 -0.019 -0.003 0.0 0.01 0.002 -0.009 0.018 -0.002 0.0 -0.0 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.005 0.003 0.026 0.0 0.004 0.0 0.005 0.014 0.015 2.0 
1.0 31.0 -1.0 -0.7 1.0 1.2 116.0 150.0 0.012335 3.6441 1.90228629812 7.359 -0.217 0.117 -0.035 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.041 0.018 -0.035 -0.018 -0.012 0.018 -0.076 0.1 -0.188 0.018 0.006 0.012 -0.006 -0.0 0.012 0.012 -0.0 -0.0 -0.0 0.006 -0.018 -0.0 0.023 0.006 -0.006 0.0 0.012 0.035 0.012 0.0 -0.006 -0.0 -0.006 -0.018 -0.251 -0.566 -0.07 -0.029 -0.0 -0.017 -0.0 0.0 0.128 0.14 -0.326 0.0 -0.378 -0.157 -0.006 -0.0 0.041 0.174 0.105 -0.029 0.006 -0.012 -0.093 0.302 0.162 0.168 -0.065 -0.032 0.041 0.004 0.004 -0.024 -0.012 -0.036 -0.012 -0.032 -0.012 0.008 0.0 -0.032 -0.004 0.012 -0.02 0.008 0.004 -0.016 0.012 0.047 -0.004 -0.015 -0.162 -0.019 -0.095 -0.023 0.004 -0.098 -0.03 0.004 -0.007 0.004 0.102 -0.004 -0.007 0.004 0.007 0.0 -0.003 0.007 -0.017 -0.013 0.003 0.0 0.0 -0.006 0.003 -0.003 -0.0 -0.006 0.006 -0.011 -0.003 0.0 0.01 0.002 -0.009 0.02 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.027 0.007 0.038 0.0 0.012 0.0 0.006 0.018 0.036 2.0 
1.0 32.0 -0.7 -0.4 1.0 1.2 116.0 150.0 0.019995 2.5271 1.00478823764 2.187 -0.133 0.112 -0.027 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 -0.037 0.005 0.005 0.0 -0.005 -0.005 0.005 -0.0 0.011 0.011 -0.005 0.0 0.005 0.005 0.005 0.005 -0.011 -0.0 0.005 0.0 0.011 -0.005 0.005 -0.011 0.0 -0.011 0.005 0.005 -0.016 -0.005 -0.005 0.011 0.0 -0.154 -0.239 -0.042 -0.011 -0.0 -0.021 -0.0 0.0 0.064 0.058 -0.016 -0.0 -0.032 0.069 0.074 0.011 0.074 0.058 0.032 -0.132 0.016 0.037 0.143 -0.016 0.042 0.053 -0.234 0.055 -0.005 -0.009 -0.009 0.036 0.091 0.036 0.023 0.018 0.009 -0.014 0.005 0.013 0.004 -0.081 -0.058 -0.018 -0.004 0.004 0.004 0.149 0.004 0.004 0.052 0.022 -0.004 -0.021 -0.06 0.051 0.042 0.0 -0.008 -0.008 0.053 -0.0 -0.008 0.004 0.004 0.004 -0.008 0.023 -0.034 -0.029 0.004 -0.004 0.0 -0.007 0.003 -0.003 -0.0 -0.006 0.006 -0.012 -0.0 0.0 0.011 0.003 -0.008 0.019 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.006 0.004 0.026 0.0 0.001 0.0 0.003 0.012 0.009 2.0 
1.0 33.0 -0.4 0.0 1.0 1.2 116.0 150.0 0.020671 2.0665 0.903743884571 0.201 -0.144 0.119 -0.038 0.0 0.0 -0.0 0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 -0.006 -0.019 0.0 0.019 0.013 -0.006 0.013 -0.044 0.019 0.006 0.0 0.013 -0.006 0.006 -0.0 -0.0 0.006 -0.006 0.006 0.0 -0.006 -0.0 -0.0 -0.0 -0.006 0.006 0.013 0.006 0.0 -0.0 0.006 0.0 0.006 -0.15 -0.2 -0.044 -0.019 0.0 -0.0 -0.0 0.0 0.056 0.062 0.193 -0.0 -0.0 0.012 -0.044 -0.112 -0.068 0.012 0.0 0.056 -0.081 0.075 0.012 0.0 0.068 0.05 -0.124 0.044 -0.0 -0.055 -0.0 0.153 0.007 0.062 -0.004 0.011 -0.0 0.007 -0.047 0.0 -0.0 -0.064 0.004 -0.039 0.0 -0.0 -0.0 0.028 -0.01 0.003 -0.024 -0.021 -0.027 0.007 -0.007 0.007 -0.01 -0.0 -0.007 -0.003 0.072 -0.003 -0.01 -0.0 0.003 0.0 -0.003 0.009 -0.018 -0.015 -0.0 -0.003 0.0 -0.006 0.003 0.0 0.0 -0.005 0.005 -0.012 -0.002 0.0 0.007 0.002 -0.006 0.015 -0.002 -0.0 -0.0 0.001 0.0 0.0 0.0 0.0 0.0 -0.005 0.003 0.019 -0.0 0.003 0.003 0.003 0.005 0.004 2.0 
1.0 34.0 0.0 0.4 1.0 1.2 116.0 150.0 0.024281 1.8925 0.765275389974 0.426 -0.134 0.036 -0.036 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.006 0.006 0.012 0.0 -0.024 -0.006 0.03 -0.03 0.055 0.012 -0.006 0.006 0.012 -0.0 -0.0 0.012 -0.006 -0.0 -0.006 -0.0 0.012 -0.006 0.006 -0.006 -0.006 -0.006 -0.006 0.006 -0.0 0.006 -0.006 -0.0 0.0 0.012 -0.121 -0.157 -0.03 -0.018 -0.0 0.0 -0.0 0.0 0.042 0.054 0.163 -0.0 -0.0 0.0 -0.151 -0.085 -0.024 0.0 0.0 0.072 0.048 0.03 -0.006 0.0 0.036 0.042 -0.155 0.054 -0.004 0.046 -0.0 0.189 -0.027 0.058 -0.004 0.035 0.0 0.011 0.057 0.004 -0.0 -0.03 0.004 0.038 0.0 -0.0 0.0 0.052 0.004 -0.007 -0.073 0.044 -0.047 -0.004 -0.004 -0.018 0.014 -0.0 -0.011 -0.003 0.073 -0.003 -0.01 0.0 0.003 0.0 -0.003 0.01 -0.019 -0.016 -0.0 -0.003 0.0 -0.006 0.003 -0.0 0.0 -0.005 0.005 -0.013 -0.003 0.0 0.007 0.002 -0.006 0.016 -0.002 -0.0 -0.0 0.002 0.0 0.0 -0.0 -0.0 0.0 -0.007 0.004 0.019 0.0 0.001 0.0 0.002 0.004 0.004 2.0 
1.0 35.0 0.4 0.7 1.0 1.2 116.0 150.0 0.030923 1.9883 0.799641120503 1.508 -0.139 0.022 -0.028 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.011 0.044 0.011 0.0 0.006 -0.0 0.039 -0.061 0.061 -0.011 0.006 -0.011 -0.006 0.006 -0.0 0.006 -0.011 0.011 0.011 -0.0 0.006 -0.006 -0.0 0.0 0.011 0.0 0.0 -0.0 0.006 0.011 -0.0 0.006 0.011 0.0 -0.116 -0.233 -0.033 -0.011 -0.0 0.0 -0.0 0.0 0.05 0.055 -0.011 -0.0 -0.044 -0.127 -0.055 -0.006 0.039 -0.044 -0.033 -0.044 -0.017 0.011 0.077 0.022 0.028 0.033 -0.197 0.044 0.009 -0.048 -0.013 0.048 0.061 0.061 0.022 0.039 0.009 -0.03 -0.009 -0.009 -0.0 -0.09 -0.009 -0.043 -0.017 0.013 0.013 0.122 -0.021 0.021 -0.15 0.025 -0.107 -0.016 -0.033 -0.089 0.004 0.0 -0.008 -0.008 0.047 -0.0 -0.008 0.004 0.007 0.004 -0.007 0.022 -0.032 -0.028 0.003 -0.003 0.0 -0.007 0.003 -0.003 -0.0 -0.006 0.006 -0.012 -0.0 0.0 0.011 0.002 -0.007 0.018 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 -0.019 0.003 0.015 0.0 0.001 0.0 0.003 0.008 0.008 2.0 
1.0 36.0 0.7 1.0 1.0 1.2 116.0 150.0 0.018877 2.8912 1.54806912313 6.425 -0.223 0.023 -0.035 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.047 0.012 0.006 0.018 -0.029 -0.006 0.053 -0.07 0.123 -0.018 0.012 -0.012 0.012 0.006 -0.012 0.023 0.018 0.006 0.018 -0.006 0.006 0.018 0.012 0.0 -0.0 0.006 0.0 -0.018 0.006 0.006 -0.0 -0.0 0.006 -0.018 -0.164 -0.333 -0.058 -0.012 -0.0 0.006 -0.0 0.0 0.088 0.082 -0.21 0.0 -0.367 -0.157 -0.029 -0.0 -0.035 0.122 -0.087 0.058 0.0 0.058 -0.093 0.058 0.041 0.064 -0.14 -0.045 0.021 0.033 -0.0 0.057 0.025 -0.049 -0.016 -0.037 -0.028 0.041 0.0 -0.008 0.02 0.036 -0.02 0.032 0.0 0.028 0.008 0.02 0.016 -0.047 -0.226 -0.043 -0.019 0.004 0.004 0.046 -0.027 0.004 -0.008 0.004 0.107 -0.004 -0.007 0.004 0.011 0.0 -0.003 0.007 -0.017 -0.013 0.003 0.0 0.0 -0.009 0.003 -0.003 -0.0 -0.006 0.006 -0.014 -0.003 0.0 0.01 0.002 -0.009 0.021 -0.002 -0.0 -0.002 0.002 0.0 -0.0 -0.0 -0.0 0.0 0.003 0.002 0.024 0.0 0.014 0.0 0.004 0.011 0.034 2.0 
1.0 37.0 -1.0 -0.7 1.2 1.4 116.0 150.0 0.0086054 4.1774 1.49913871606 2.005 -0.187 0.083 -0.026 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.067 0.021 0.016 0.005 -0.005 -0.041 0.176 -0.233 0.378 -0.021 -0.031 -0.062 0.016 0.016 -0.016 0.01 -0.0 0.01 0.016 0.021 -0.01 -0.01 -0.0 -0.005 -0.01 -0.031 -0.01 -0.021 -0.01 0.005 -0.0 0.005 0.0 -0.031 -0.191 -0.382 -0.046 -0.01 -0.0 0.005 -0.0 0.0 0.108 0.124 -0.093 -0.0 -0.365 -0.077 0.005 0.005 -0.005 -0.262 -0.077 0.103 0.005 0.015 -0.031 -0.703 0.22 0.077 -0.089 -0.066 -0.023 0.019 -0.0 -0.042 0.037 -0.042 0.005 -0.051 -0.023 -0.032 0.0 0.018 -0.032 0.032 -0.023 -0.032 0.0 -0.023 0.018 0.045 -0.022 -0.049 0.076 -0.093 -0.062 0.026 0.009 0.022 -0.022 0.0 -0.004 0.004 0.101 0.0 -0.004 0.004 0.008 0.0 -0.004 0.008 -0.015 -0.015 0.004 0.0 0.0 -0.007 0.0 -0.003 -0.0 -0.007 0.006 -0.013 -0.0 0.0 0.011 0.003 -0.01 0.024 -0.002 -0.0 -0.002 0.002 0.0 0.002 -0.002 -0.0 0.0 -0.021 0.002 0.042 -0.0 -0.0 0.0 0.006 0.016 0.013 2.0 
1.0 38.0 -0.7 -0.4 1.2 1.4 116.0 150.0 0.018337 2.6383 1.25188469517 1.766 -0.157 0.128 -0.029 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.017 -0.035 0.029 0.0 0.012 0.017 -0.041 0.081 -0.093 0.012 0.006 0.023 -0.012 0.006 0.006 -0.017 0.006 -0.006 -0.0 0.012 0.0 0.017 -0.006 0.012 0.012 -0.012 0.006 -0.017 0.017 0.0 0.006 0.029 0.0 0.0 -0.145 -0.33 -0.046 -0.017 -0.0 0.0 -0.0 0.0 0.069 0.087 -0.127 0.0 0.012 0.087 0.0 -0.046 -0.081 -0.023 -0.012 0.075 0.046 0.035 0.098 -0.075 0.063 0.069 -0.232 0.033 0.02 0.016 0.004 0.045 0.105 0.049 0.04 0.016 0.028 0.016 0.0 0.02 -0.0 -0.072 -0.076 0.036 0.0 -0.012 0.008 0.23 0.008 0.023 -0.298 -0.023 -0.134 0.011 -0.008 -0.132 0.041 0.0 -0.007 -0.007 0.055 0.0 -0.007 0.004 0.007 0.003 -0.007 0.017 -0.027 -0.023 0.003 -0.003 0.0 -0.009 0.003 -0.003 -0.0 -0.008 0.008 -0.017 -0.003 0.0 0.01 0.002 -0.009 0.021 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.001 -0.0 0.0 0.016 0.004 0.022 -0.0 0.008 0.002 0.003 0.011 0.013 2.0 
1.0 39.0 -0.4 0.0 1.2 1.4 116.0 150.0 0.018851 2.3437 0.932669707024 2.193 -0.163 0.129 -0.041 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.007 -0.027 -0.027 0.02 0.0 -0.007 -0.014 0.014 -0.007 -0.014 0.014 0.0 -0.007 0.014 -0.0 -0.007 0.014 -0.0 -0.0 -0.0 0.0 -0.0 -0.007 -0.014 0.014 -0.007 -0.007 -0.007 -0.02 0.007 0.014 -0.0 0.007 0.0 -0.142 -0.224 -0.034 -0.02 -0.0 0.0 -0.0 0.0 0.054 0.074 -0.135 0.0 0.007 0.041 -0.047 0.074 0.014 -0.0 0.0 -0.041 -0.061 -0.067 0.034 0.0 0.054 0.04 -0.233 0.025 -0.0 0.009 -0.009 0.157 0.066 0.034 0.009 0.009 0.003 0.009 -0.022 0.0 -0.0 -0.059 -0.046 -0.015 0.006 0.0 -0.0 0.084 0.006 0.006 -0.081 0.027 -0.024 0.018 -0.029 -0.035 0.026 0.0 -0.012 -0.009 0.048 -0.0 -0.008 0.005 0.005 0.003 -0.008 0.016 -0.034 -0.025 0.002 -0.005 0.002 -0.007 0.002 -0.002 -0.0 -0.004 0.004 -0.011 -0.0 0.0 0.006 0.002 -0.007 0.016 -0.001 0.0 -0.001 0.001 0.0 -0.0 -0.0 -0.0 0.0 -0.019 0.001 0.014 0.0 0.003 0.0 0.003 0.005 0.004 2.0 
1.0 40.0 0.0 0.4 1.2 1.4 116.0 150.0 0.023935 2.0946 0.833520011757 2.339 -0.157 0.039 -0.039 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.007 0.02 0.02 -0.013 0.007 -0.0 0.026 -0.02 0.033 0.007 0.0 -0.007 0.0 -0.0 -0.0 0.02 -0.013 0.007 0.007 -0.0 0.0 0.007 -0.0 0.0 -0.007 0.007 -0.007 -0.0 0.013 0.0 0.007 -0.007 -0.007 -0.007 -0.111 -0.163 -0.046 -0.013 -0.007 0.0 -0.0 0.0 0.052 0.045 -0.104 0.0 0.0 0.032 0.058 0.071 -0.006 -0.0 0.0 0.019 -0.026 -0.026 0.006 0.006 0.065 0.077 -0.252 0.024 -0.01 -0.014 0.007 0.132 -0.058 0.017 -0.0 0.003 0.01 -0.02 -0.003 0.013 -0.0 -0.11 -0.037 -0.013 0.007 0.003 -0.0 0.16 -0.006 0.006 -0.019 0.029 0.016 -0.013 -0.013 0.041 -0.009 0.0 -0.009 -0.009 0.049 -0.0 -0.009 0.006 0.006 0.003 -0.009 0.017 -0.036 -0.027 0.003 -0.005 0.003 -0.008 0.003 -0.002 -0.0 -0.005 0.005 -0.014 -0.002 0.0 0.006 0.002 -0.007 0.016 -0.002 0.0 -0.001 0.001 0.0 -0.0 -0.0 -0.0 0.0 -0.013 0.001 0.011 0.0 0.003 0.0 0.002 0.004 0.004 2.0 
1.0 41.0 0.4 0.7 1.2 1.4 116.0 150.0 0.031388 1.9499 0.906094323181 2.448 -0.151 0.023 -0.029 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.012 0.035 -0.012 0.006 0.0 -0.0 0.0 0.023 0.023 0.006 0.0 -0.012 0.006 0.006 0.012 0.012 -0.0 -0.012 -0.012 -0.017 0.017 -0.0 0.017 0.017 -0.017 0.0 0.006 0.006 0.012 0.006 -0.0 0.006 -0.006 0.012 -0.087 -0.156 -0.041 -0.012 -0.0 0.0 -0.0 0.0 0.052 0.046 -0.069 0.0 -0.104 0.04 -0.012 -0.029 0.069 0.04 0.006 0.04 -0.006 -0.029 -0.063 0.035 0.034 0.029 -0.132 -0.008 0.008 0.008 -0.016 0.025 0.078 0.008 0.02 -0.004 0.012 0.012 0.0 -0.016 0.008 -0.02 -0.105 0.008 0.008 -0.016 0.004 0.166 -0.016 0.012 -0.148 0.027 -0.039 0.008 -0.035 -0.008 0.008 0.0 -0.008 -0.007 0.055 0.0 -0.007 0.004 0.007 0.003 -0.007 0.017 -0.027 -0.023 0.003 -0.003 0.0 -0.009 0.003 -0.003 -0.0 -0.009 0.009 -0.017 -0.003 0.0 0.01 0.002 -0.009 0.021 -0.002 0.0 -0.002 0.002 0.0 -0.0 -0.001 -0.0 0.0 0.01 0.001 0.014 0.0 0.004 0.001 0.003 0.007 0.012 2.0 
1.0 42.0 0.7 1.0 1.2 1.4 116.0 150.0 0.013916 3.1804 1.25720414015 4.258 -0.184 0.0 -0.025 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.041 -0.01 0.015 -0.02 0.036 -0.005 -0.041 0.071 -0.107 0.025 -0.005 -0.005 0.0 -0.01 -0.005 -0.005 0.005 -0.025 -0.005 0.02 -0.005 -0.025 -0.015 0.0 -0.005 0.005 -0.01 -0.0 0.005 -0.01 -0.02 -0.02 0.0 0.0 -0.117 -0.218 -0.036 -0.01 -0.005 0.01 -0.0 0.0 0.081 0.076 -0.061 0.0 0.279 -0.01 0.01 0.005 0.096 -0.04 0.101 0.056 0.005 0.005 0.086 -0.146 0.066 0.121 -0.121 -0.048 -0.039 0.024 -0.0 -0.01 0.029 -0.024 0.024 -0.043 -0.038 -0.005 0.0 0.028 0.033 0.047 0.009 0.023 0.0 0.028 0.037 0.014 0.023 -0.023 -0.032 0.014 -0.045 0.023 -0.005 0.063 0.013 0.0 -0.004 0.004 0.104 -0.0 -0.004 0.004 0.008 0.0 -0.004 0.008 -0.016 -0.016 0.004 0.0 0.0 -0.011 0.0 -0.004 0.004 -0.007 0.007 -0.013 0.0 0.0 0.012 0.003 -0.011 0.024 -0.002 0.0 -0.002 0.002 0.0 0.002 -0.002 -0.0 0.0 -0.04 0.005 0.025 0.0 0.001 0.0 0.005 0.008 0.012 2.0 
1.0 43.0 -1.0 -0.7 1.4 1.6 116.0 150.0 0.002348 8.8363 3.28121934805 8.716 -0.233 0.1 -0.032 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.095 0.132 -0.201 0.063 -0.085 0.069 -0.069 0.095 -0.317 -0.021 0.048 0.063 0.011 -0.037 0.048 0.005 0.026 0.005 -0.037 -0.079 0.032 -0.005 -0.042 -0.005 0.005 0.058 -0.058 -0.069 0.021 -0.011 -0.021 -0.032 -0.032 -0.011 -0.474 -0.453 -0.111 -0.063 -0.0 0.005 -0.0 0.0 0.315 0.405 -0.042 0.005 0.415 0.026 0.005 -0.047 0.1 0.231 0.063 -0.115 0.1 0.005 -0.183 1.042 0.298 0.214 -0.08 -0.033 -0.0 -0.033 -0.0 -0.033 0.005 -0.038 0.005 -0.014 0.019 0.019 0.0 0.019 0.037 0.051 0.005 0.032 0.0 0.018 0.055 -0.027 0.014 -0.013 -0.488 -0.094 -0.137 -0.031 0.004 -0.083 -0.03 -0.004 -0.004 0.004 0.123 -0.0 -0.008 0.004 0.008 0.0 -0.004 0.008 -0.016 -0.015 0.004 -0.004 0.0 -0.011 0.0 -0.003 -0.0 -0.01 0.01 -0.019 -0.003 0.0 0.014 0.005 -0.013 0.028 -0.002 0.0 -0.0 0.002 0.0 0.002 -0.002 -0.0 0.0 0.018 0.003 0.056 0.0 0.0 0.0 0.008 0.01 0.035 2.0 
1.0 44.0 -0.7 -0.4 1.4 1.6 116.0 150.0 0.016457 2.7273 0.986412738158 1.801 -0.16 0.096 -0.027 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.043 0.0 -0.005 0.011 0.005 -0.016 0.021 -0.053 0.064 0.005 -0.016 0.0 0.005 0.005 -0.016 -0.021 0.005 -0.005 -0.005 -0.011 -0.005 -0.0 0.016 -0.027 0.011 -0.016 -0.005 -0.0 0.016 0.0 -0.016 -0.005 -0.011 0.011 -0.106 -0.25 -0.037 -0.016 -0.0 0.0 -0.0 0.0 0.064 0.085 0.032 -0.0 0.106 -0.074 -0.016 0.053 0.037 -0.005 0.026 -0.175 0.053 -0.005 0.063 -0.1 0.09 0.069 -0.188 0.046 0.083 -0.027 -0.0 0.105 0.027 0.014 0.018 0.009 0.054 0.036 -0.005 -0.027 -0.036 -0.031 -0.045 0.022 0.0 -0.049 -0.004 0.185 -0.031 0.017 -0.091 -0.017 0.073 0.03 -0.004 0.021 0.025 -0.0 -0.004 -0.004 0.078 -0.0 -0.004 0.004 0.004 0.004 -0.008 0.015 -0.03 -0.026 -0.0 -0.004 0.0 -0.01 0.003 -0.003 -0.0 -0.01 0.01 -0.019 -0.003 0.0 0.011 0.003 -0.01 0.025 -0.002 0.0 -0.0 0.002 0.0 -0.0 -0.0 -0.0 0.0 -0.013 0.003 0.02 0.0 0.0 0.0 0.004 0.01 0.006 2.0 
1.0 45.0 -0.4 0.0 1.4 1.6 116.0 150.0 0.018094 2.3002 0.990812373762 0.561 -0.166 0.089 -0.038 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.013 -0.032 0.013 0.006 -0.019 0.006 -0.013 0.032 -0.019 0.013 0.0 0.0 0.0 -0.0 -0.013 -0.013 -0.0 -0.006 -0.025 -0.006 0.0 0.006 -0.013 -0.006 0.006 0.019 0.0 0.019 0.006 -0.013 -0.013 -0.013 0.013 -0.006 -0.114 -0.228 -0.044 -0.006 -0.013 0.0 -0.0 0.0 0.057 0.051 0.006 -0.0 0.006 -0.038 -0.025 -0.114 0.0 -0.0 0.0 0.0 -0.006 0.013 -0.101 0.013 0.05 0.031 -0.325 -0.011 0.025 -0.004 -0.014 0.074 0.141 -0.018 0.059 -0.014 0.014 0.003 -0.017 -0.021 0.003 -0.097 -0.11 -0.003 -0.003 0.007 0.003 0.409 0.007 0.02 0.044 0.027 0.023 0.01 -0.026 0.043 -0.042 -0.0 -0.01 -0.016 0.044 0.0 -0.009 0.006 0.006 0.006 -0.009 0.023 -0.046 -0.037 0.003 -0.008 0.003 -0.011 0.003 -0.003 -0.0 -0.007 0.005 -0.014 -0.0 0.002 0.011 0.002 -0.01 0.021 -0.002 0.0 -0.001 0.001 0.0 -0.0 0.0 -0.0 0.0 -0.007 0.002 0.012 0.0 0.002 0.0 0.003 0.006 0.005 2.0 
1.0 46.0 0.0 0.4 1.4 1.6 116.0 150.0 0.022738 2.0084 0.979886217068 1.62 -0.172 0.057 -0.038 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.006 0.013 -0.013 -0.019 0.019 0.006 -0.032 0.045 -0.077 0.006 0.013 0.006 -0.013 0.019 -0.0 0.0 -0.006 -0.0 -0.006 0.006 0.013 0.013 0.013 0.013 0.006 -0.013 0.013 -0.006 0.0 0.0 -0.0 -0.0 -0.013 -0.006 -0.089 -0.127 -0.038 -0.013 -0.0 -0.038 -0.0 0.0 0.044 0.051 0.006 0.0 -0.013 0.133 0.006 0.044 0.0 -0.0 0.0 -0.006 0.038 -0.07 0.082 0.006 0.032 0.019 -0.237 -0.018 -0.025 0.004 0.0 0.067 0.123 -0.014 0.032 -0.004 -0.017 0.007 -0.021 -0.017 -0.0 -0.049 -0.038 0.003 -0.003 -0.017 -0.0 0.397 0.007 -0.003 -0.077 0.034 0.04 -0.007 0.026 0.007 0.02 0.0 -0.01 -0.013 0.044 0.0 -0.009 0.006 0.006 0.006 -0.009 0.024 -0.047 -0.037 0.003 -0.008 0.003 -0.008 0.003 -0.003 -0.0 -0.007 0.007 -0.014 -0.002 0.002 0.011 0.002 -0.01 0.023 -0.002 0.0 -0.001 0.001 0.0 -0.0 -0.0 -0.0 0.0 0.012 0.001 0.009 0.0 0.001 0.0 0.002 0.006 0.005 2.0 
