   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.109642       1.51339       3.06382       3.74065       3.52998       3.52998       0.00000       0.00000       6.80447       1.76499       1.76499       1.27685       2.59766       2.67448       0.00000    
  0.114809       1.43068       2.92676       3.57275       3.37868       3.37868       0.00000       0.00000       6.49951       1.68934       1.68934       1.25314       2.47485       2.51367       0.00000    
  0.120220       1.34856       2.79150       3.40735       3.22897       3.22897       0.00000       0.00000       6.19884       1.61448       1.61448       1.22981       2.35403       2.35592       0.00000    
  0.125886       1.26727       2.65814       3.24447       3.08102       3.08102       0.00000       0.00000       5.90262       1.54051       1.54051       1.20663       2.23526       2.20129       0.00000    
  0.131818       1.18698       2.52692       3.08453       2.93511       2.93511       0.00000       0.00000       5.61145       1.46756       1.46756       1.18320       2.11873       2.05075       0.00000    
  0.138031       1.10789       2.39800       2.92770       2.79144       2.79144       0.00000       0.00000       5.32570       1.39572       1.39572       1.15922       2.00456       1.90474       0.00000    
  0.144536       1.03024       2.27154       2.77410       2.65022       2.65022       0.00000       0.00000       5.04564       1.32511       1.32511       1.13442       1.89285       1.76357       0.00000    
  0.151347      0.954142       2.14759       2.62373       2.51154       2.51154       0.00000       0.00000       4.77132       1.25577       1.25577       1.10900       1.78365       1.62693       0.00000    
  0.158480      0.880010       2.02647       2.47689       2.37578       2.37578       0.00000       0.00000       4.50335       1.18789       1.18789       1.08182       1.67716       1.49617       0.00000    
  0.165949      0.808051       1.90830       2.33366       2.24313       2.24313       0.00000       0.00000       4.24196       1.12157       1.12157       1.05271       1.57347       1.37147       0.00000    
  0.173769      0.738411       1.79319       2.19412       2.11373       2.11373       0.00000       0.00000       3.98731       1.05686       1.05686       1.02171       1.47266       1.25280       0.00000    
  0.181959      0.671122       1.68119       2.05835       1.98762       1.98762       0.00000       0.00000       3.73954      0.993812      0.993812      0.989222       1.37476       1.13986       0.00000    
  0.190534      0.606821       1.57263       1.92639       1.86528       1.86528       0.00000       0.00000       3.49902      0.932642      0.932642      0.953656       1.27998       1.03384       0.00000    
  0.199513      0.545610       1.46759       1.79831       1.74681       1.74681       0.00000       0.00000       3.26591      0.873406      0.873406      0.915194       1.18837      0.934622       0.00000    
  0.208916      0.487419       1.36609       1.67425       1.63221       1.63221       0.00000       0.00000       3.04034      0.816106      0.816106      0.874452       1.09996      0.841834       0.00000    
  0.218761      0.432399       1.26822       1.55426       1.52162       1.52162       0.00000       0.00000       2.82248      0.760809      0.760809      0.831496       1.01482      0.755412       0.00000    
  0.229071      0.381114       1.17426       1.43830       1.41542       1.41542       0.00000       0.00000       2.61256      0.707711      0.707711      0.785339      0.933098      0.675834       0.00000    
  0.239867      0.333530       1.08423       1.32647       1.31365       1.31365       0.00000       0.00000       2.41071      0.656824      0.656824      0.736508      0.854822      0.602789       0.00000    
  0.251171      0.289346      0.998049       1.21890       1.21613       1.21613       0.00000       0.00000       2.21695      0.608065      0.608065      0.685833      0.779967      0.535842       0.00000    
  0.263008      0.248837      0.915870       1.11571       1.12311       1.12311       0.00000       0.00000       2.03158      0.561555      0.561555      0.633493      0.708630      0.474825       0.00000    
