   8317.00000             101          14   9.99999978E-03  0.999899983    
            x          g             U             D           u^+           d^+         u_val         d_val           sea         u_sea         d_sea             s^+         c^+           b^+               ph 
  0.181959      0.674166       1.68354       2.05783       1.98965       1.98965       0.00000       0.00000       3.74137      0.994824      0.994824      0.988044       1.37744       1.13797       0.00000    
  0.190534      0.609983       1.57474       1.92551       1.86703       1.86703       0.00000       0.00000       3.50025      0.933516      0.933516      0.952040       1.28245       1.03195       0.00000    
  0.199513      0.548820       1.46946       1.79710       1.74830       1.74830       0.00000       0.00000       3.26656      0.874150      0.874150      0.913163       1.19063      0.932733       0.00000    
  0.208916      0.490614       1.36773       1.67272       1.63345       1.63345       0.00000       0.00000       3.04045      0.816725      0.816725      0.872028       1.10201      0.839960       0.00000    
  0.218761      0.435523       1.26963       1.55245       1.52262       1.52262       0.00000       0.00000       2.82208      0.761311      0.761311      0.828710       1.01665      0.753559       0.00000    
  0.229071      0.384120       1.17546       1.43624       1.41621       1.41621       0.00000       0.00000       2.61170      0.708107      0.708107      0.782251      0.934707      0.674011       0.00000    
  0.239867      0.336379       1.08523       1.32422       1.31425       1.31425       0.00000       0.00000       2.40945      0.657123      0.657123      0.733181      0.856223      0.601004       0.00000    
  0.251171      0.292000      0.998860       1.21648       1.21655       1.21655       0.00000       0.00000       2.21534      0.608277      0.608277      0.682312      0.781166      0.534102       0.00000    
  0.263008      0.251273      0.916508       1.11318       1.12338       1.12338       0.00000       0.00000       2.02969      0.561690      0.561690      0.629843      0.709638      0.473135       0.00000    
  0.275403      0.214461      0.838340       1.01443       1.03494       1.03494       0.00000       0.00000       1.85277      0.517472      0.517472      0.575998      0.641736      0.417924       0.00000    
  0.288382      0.181396      0.764317      0.920358      0.951171      0.951171       0.00000       0.00000       1.68468      0.475585      0.475585      0.521455      0.577462      0.368091       0.00000    
  0.301973      0.151693      0.694237      0.830735      0.871759      0.871759       0.00000       0.00000       1.52497      0.435879      0.435879      0.466285      0.516714      0.323426       0.00000    
  0.316204      0.125515      0.628318      0.746192      0.796984      0.796984       0.00000       0.00000       1.37451      0.398492      0.398492      0.412105      0.459651      0.283296       0.00000    
  0.331106      0.102763      0.566576      0.666951      0.726844      0.726844       0.00000       0.00000       1.23353      0.363422      0.363422      0.359788      0.406308      0.247270       0.00000    
  0.346710      0.831804E-01  0.508907      0.592988      0.661171      0.661171       0.00000       0.00000       1.10189      0.330586      0.330586      0.309764      0.356642      0.215041       0.00000    
  0.363050      0.665407E-01  0.455030      0.523601      0.599629      0.599629       0.00000       0.00000      0.978630      0.299815      0.299815      0.260894      0.310430      0.186678       0.00000    
  0.380159      0.525301E-01  0.405152      0.459974      0.542347      0.542347       0.00000       0.00000      0.865126      0.271173      0.271173      0.216406      0.267958      0.161195       0.00000    
  0.398075      0.408948E-01  0.359151      0.402014      0.489137      0.489137       0.00000       0.00000      0.761165      0.244568      0.244568      0.176569      0.229166      0.138322       0.00000    
  0.416836      0.314100E-01  0.316856      0.349430      0.439788      0.439788       0.00000       0.00000      0.666286      0.219894      0.219894      0.141170      0.193924      0.117903       0.00000    
  0.436480      0.240461E-01  0.278054      0.301666      0.394214      0.394214       0.00000       0.00000      0.579720      0.197107      0.197107      0.109156      0.161894      0.999608E-01   0.00000    
  0.457050      0.180752E-01  0.242683      0.259120      0.351873      0.351873       0.00000       0.00000      0.501803      0.175936      0.175936      0.824935E-01  0.133493      0.838747E-01   0.00000    
  0.478590      0.133396E-01  0.210557      0.221413      0.312594      0.312594       0.00000       0.00000      0.431970      0.156297      0.156297      0.606812E-01  0.108520      0.695499E-01   0.00000    
  0.501145      0.976666E-02  0.181511      0.188227      0.276283      0.276283       0.00000       0.00000      0.369738      0.138142      0.138142      0.432692E-01  0.867381E-01  0.569021E-01   0.00000    
  0.524762      0.721657E-02  0.155363      0.159197      0.242787      0.242787       0.00000       0.00000      0.314559      0.121393      0.121393      0.297678E-01  0.679391E-01  0.458388E-01   0.00000    
  0.549493      0.522153E-02  0.131859      0.133694      0.211669      0.211669       0.00000       0.00000      0.265554      0.105834      0.105834      0.194924E-01  0.520493E-01  0.362275E-01   0.00000    
  0.575389      0.370441E-02  0.110833      0.111402      0.182831      0.182831       0.00000       0.00000      0.222235      0.914155E-01  0.914155E-01  0.119902E-01  0.388342E-01  0.279833E-01   0.00000    
  0.602506      0.261449E-02  0.921374E-01  0.920790E-01  0.156275      0.156275       0.00000       0.00000      0.184216      0.781375E-01  0.781375E-01  0.688652E-02  0.279999E-01  0.209966E-01   0.00000    
  0.630900      0.184080E-02  0.755798E-01  0.753074E-01  0.131772      0.131772       0.00000       0.00000      0.150887      0.658859E-01  0.658859E-01  0.362877E-02  0.193877E-01  0.152143E-01   0.00000    
  0.660633      0.127768E-02  0.609699E-01  0.606856E-01  0.109113      0.109113       0.00000       0.00000      0.121655      0.545564E-01  0.545564E-01  0.168017E-02  0.128270E-01  0.105783E-01   0.00000    
  0.691767      0.877005E-03  0.481641E-01  0.479801E-01  0.883102E-01  0.883102E-01   0.00000       0.00000      0.961442E-01  0.441551E-01  0.441551E-01  0.673491E-03  0.801806E-02  0.697657E-02   0.00000    
  0.724368      0.590573E-03  0.370187E-01  0.369571E-01  0.693760E-01  0.693760E-01   0.00000       0.00000      0.739759E-01  0.346880E-01  0.346880E-01  0.241014E-03  0.466148E-02  0.429727E-02   0.00000    
  0.758506      0.379048E-03  0.274040E-01  0.274195E-01  0.523459E-01  0.523459E-01   0.00000       0.00000      0.548235E-01  0.261729E-01  0.261729E-01  0.717346E-04  0.246212E-02  0.242131E-02   0.00000    
  0.794253      0.225526E-03  0.192372E-01  0.192792E-01  0.373342E-01  0.373342E-01   0.00000       0.00000      0.385164E-01  0.186671E-01  0.186671E-01  0.165042E-04  0.114027E-02  0.120774E-02   0.00000    
  0.831684      0.119450E-03  0.124754E-01  0.125109E-01  0.245143E-01  0.245143E-01   0.00000       0.00000      0.249863E-01  0.122571E-01  0.122571E-01  0.277317E-05  0.436456E-03  0.504750E-03   0.00000    
  0.870879      0.523887E-04  0.711614E-02  0.713427E-02  0.141087E-01  0.141087E-01   0.00000       0.00000      0.142504E-01  0.705434E-02  0.705434E-02  0.379352E-06  0.123601E-03  0.159478E-03   0.00000    
  0.911921      0.162291E-04  0.319876E-02  0.320381E-02  0.637727E-02  0.637727E-02   0.00000       0.00000      0.640257E-02  0.318864E-02  0.318864E-02  0.703564E-07  0.202515E-04  0.302849E-04   0.00000    
  0.954898      0.214531E-05  0.793897E-03  0.794316E-03  0.158684E-02  0.158684E-02   0.00000       0.00000      0.158821E-02  0.793420E-03  0.793420E-03  0.295533E-07  0.954309E-06  0.176292E-05   0.00000    
  0.999900      0.290364E-09  0.218716E-06  0.218595E-06  0.437691E-06  0.437691E-06   0.00000       0.00000      0.437312E-06  0.218845E-06  0.218845E-06  -.283650E-09  -.257989E-09  -.216690E-09   0.00000    
