   8317.000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.999925E-01  0.843518      0.628113      0.432856      0.138554      0.195104      0.489559      0.237753      0.333658      0.110399      0.112928      0.663599E-01  0.281553E-01  0.158158E-01
  0.109639      0.723342      0.612640      0.407929      0.123817      0.175410      0.488824      0.232520      0.299226      0.100507      0.103083      0.592476E-01  0.233094E-01  0.130792E-01
  0.120217      0.616134      0.596347      0.383150      0.110368      0.157375      0.485979      0.225775      0.267743      0.912546E-01  0.938671E-01  0.527786E-01  0.191135E-01  0.107292E-01
  0.131815      0.519502      0.579058      0.358351      0.979762E-01  0.140691      0.481082      0.217659      0.238667      0.825307E-01  0.851706E-01  0.468356E-01  0.154456E-01  0.868499E-02
  0.144533      0.433566      0.560473      0.333457      0.866437E-01  0.125356      0.473830      0.208100      0.212000      0.743433E-01  0.769991E-01  0.414187E-01  0.123004E-01  0.693875E-02
  0.158477      0.357449      0.540388      0.308425      0.762743E-01  0.111244      0.464114      0.197182      0.187518      0.666514E-01  0.693103E-01  0.364780E-01  0.962290E-02  0.545539E-02
  0.173766      0.291142      0.518434      0.283232      0.668566E-01  0.983349E-01  0.451577      0.184897      0.165192      0.594589E-01  0.621056E-01  0.320061E-01  0.739776E-02  0.422319E-02
  0.190530      0.233658      0.494410      0.257902      0.582864E-01  0.864957E-01  0.436124      0.171406      0.144782      0.527220E-01  0.553404E-01  0.279490E-01  0.556440E-02  0.320624E-02
  0.208912      0.184832      0.467910      0.232494      0.505417E-01  0.756973E-01  0.417368      0.156797      0.126239      0.464430E-01  0.490142E-01  0.242934E-01  0.409872E-02  0.238968E-02
  0.229068      0.143586      0.438798      0.207125      0.435182E-01  0.658082E-01  0.395280      0.141316      0.109326      0.405793E-01  0.430839E-01  0.209854E-01  0.293883E-02  0.173890E-02
  0.251167      0.109605      0.406717      0.181973      0.371905E-01  0.567984E-01  0.369527      0.125174      0.939890E-01  0.351356E-01  0.375515E-01  0.180095E-01  0.205489E-02  0.123745E-02
  0.275399      0.817820E-01  0.371727      0.157250      0.314646E-01  0.485522E-01  0.340262      0.108698      0.800168E-01  0.300754E-01  0.323806E-01  0.153172E-01  0.138922E-02  0.854392E-03
  0.301969      0.596889E-01  0.333721      0.133278      0.263215E-01  0.410509E-01  0.307399      0.922276E-01  0.673724E-01  0.254105E-01  0.275813E-01  0.128958E-01  0.910984E-03  0.573743E-03
  0.331102      0.422719E-01  0.293150      0.110342      0.216862E-01  0.342054E-01  0.271464      0.761370E-01  0.558916E-01  0.211140E-01  0.231279E-01  0.107073E-01  0.572148E-03  0.370261E-03
  0.363046      0.290617E-01  0.250480      0.888913E-01  0.175551E-01  0.280204E-01  0.232925      0.608709E-01  0.455755E-01  0.172093E-01  0.190432E-01  0.874684E-02  0.345860E-03  0.230337E-03
  0.398071      0.191421E-01  0.206767      0.692098E-01  0.138759E-01  0.224373E-01  0.192891      0.467725E-01  0.363132E-01  0.136787E-01  0.153131E-01  0.698875E-02  0.197253E-03  0.135496E-03
  0.436476      0.119077E-01  0.163194      0.516503E-01  0.106375E-01  0.174517E-01  0.152557      0.341986E-01  0.280891E-01  0.105333E-01  0.119510E-01  0.542679E-02  0.104168E-03  0.738406E-04
  0.478586      0.702563E-02  0.121729      0.366987E-01  0.786549E-02  0.131131E-01  0.113863      0.235856E-01  0.209786E-01  0.781371E-02  0.900223E-02  0.407304E-02  0.517817E-04  0.378114E-04
  0.524759      0.382636E-02  0.842762E-01  0.244718E-01  0.553757E-02  0.940466E-02  0.787387E-01  0.150671E-01  0.149422E-01  0.551423E-02  0.646825E-02  0.291889E-02  0.233391E-04  0.175185E-04
  0.575386      0.187307E-02  0.527848E-01  0.150392E-01  0.365129E-02  0.633835E-02  0.491335E-01  0.870086E-02  0.998963E-02  0.364206E-02  0.436505E-02  0.196619E-02  0.922905E-05  0.710483E-05
  0.630897      0.791762E-03  0.287603E-01  0.829286E-02  0.219839E-02  0.391918E-02  0.265619E-01  0.437369E-02  0.611757E-02  0.219535E-02  0.270142E-02  0.121536E-02  0.303983E-05  0.239844E-05
  0.691765      0.271222E-03  0.127833E-01  0.393330E-02  0.115882E-02  0.213643E-02  0.116245E-01  0.179687E-02  0.329525E-02  0.115805E-02  0.147342E-02  0.662391E-03  0.764937E-06  0.621222E-06
  0.758504      0.657901E-04  0.408370E-02  0.147914E-02  0.491789E-03  0.948664E-03  0.359192E-02  0.530475E-03  0.144045E-02  0.491669E-03  0.654462E-03  0.294099E-03  0.119269E-06  0.101745E-06
  0.831682      0.931965E-05  0.738721E-03  0.379631E-03  0.141831E-03  0.292101E-03  0.596890E-03  0.875305E-04  0.433932E-03  0.141823E-03  0.201541E-03  0.905519E-04  0.825638E-08  0.801654E-08
  0.911921      0.391514E-06  0.374850E-04  0.401137E-04  0.158565E-04  0.366431E-04  0.216285E-04  0.347056E-05  0.524997E-04  0.158565E-04  0.252837E-04  0.113594E-04  0.509766E-11  0.819639E-10
  0.999900      0.861098E-12  0.159349E-09  0.520783E-09  0.156098E-09  0.519792E-09  0.325041E-11  0.990311E-12  0.675890E-09  0.156099E-09  0.358657E-09  0.161136E-09  -.401676E-15  -.162115E-15
