&StatCorr

  ! Matrix of systematic uncertainties correlation for LHCb-PAPER-2015-049
  ! Numbers from http://lhcbproject.web.cern.ch/lhcbproject/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2015-049/Table_4.pdf

   Name1 = 'LHCb 8TeV Zmm Boson Rapidity'
   Name2 = 'LHCb 8TeV Zmm Boson Rapidity'

   NIdColumns1 = 2
   NIdColumns2 = 2

   IdColumns1 = 'y1','y2'
   IdColumns2 = 'y1','y2'

   NCorr = 289

  ! Matrix Type: 
  !   'Statistical correlations':     Given are correlation factors that need to be applied to statistical errors
  !                                   needs 'stat' column in data files
  !   'Systematic correlations' :     Given are correlation factors that need to be applied to systematic errors
  !                                   needs 'uncor' column in data files
  !   'Systematic covariance matrix': Given is a systematic covariance matrix  
  !
  !   'Full covariance matrix':       Given is a full covariance matrix including stat and syst parts

   MatrixType = 'Systematic correlations'
&End
3.000 3.125 2.250 2.375 0.23
3.000 3.125 2.375 2.500 0.25
3.000 3.125 2.500 2.625 0.27
3.000 3.125 2.625 2.750 0.28
3.000 3.125 2.750 2.875 0.29
3.000 3.125 2.875 3.000 0.29
3.000 3.125 3.000 3.125 1.00
3.000 3.125 3.125 3.250 0.27
3.000 3.125 3.250 3.375 0.23
3.000 3.125 3.375 3.500 0.22
3.000 3.125 3.500 3.625 0.19
3.000 3.125 3.625 3.750 0.16
3.000 3.125 3.750 3.875 0.13
3.000 3.125 3.875 4.000 0.09
3.000 3.125 4.000 4.250 0.07
3.000 3.125 4.250 4.500 0.01
3.125 3.250 2.000 2.125 0.11
3.125 3.250 2.125 2.250 0.17
3.125 3.250 2.250 2.375 0.20
3.125 3.250 2.375 2.500 0.23
3.125 3.250 2.500 2.625 0.25
3.125 3.250 2.625 2.750 0.26
3.125 3.250 2.750 2.875 0.27
3.125 3.250 2.875 3.000 0.28
3.125 3.250 3.000 3.125 0.27
3.125 3.250 3.125 3.250 1.00
3.125 3.250 3.250 3.375 0.23
3.125 3.250 3.375 3.500 0.22
3.125 3.250 3.500 3.625 0.20
3.125 3.250 3.625 3.750 0.17
3.125 3.250 3.750 3.875 0.13
3.125 3.250 3.875 4.000 0.10
3.125 3.250 4.000 4.250 0.07
3.125 3.250 4.250 4.500 0.01
3.250 3.375 2.000 2.125 0.09
3.250 3.375 2.125 2.250 0.14
3.250 3.375 2.250 2.375 0.16
3.250 3.375 2.375 2.500 0.18
3.250 3.375 2.500 2.625 0.20
3.250 3.375 2.625 2.750 0.22
3.250 3.375 2.750 2.875 0.22
3.250 3.375 2.875 3.000 0.23
3.250 3.375 3.000 3.125 0.23
3.250 3.375 3.125 3.250 0.23
3.250 3.375 3.250 3.375 1.00
3.250 3.375 3.375 3.500 0.20
3.250 3.375 3.500 3.625 0.18
3.250 3.375 3.625 3.750 0.16
3.250 3.375 3.750 3.875 0.12
3.250 3.375 3.875 4.000 0.09
3.250 3.375 4.000 4.250 0.07
3.250 3.375 4.250 4.500 0.01
3.375 3.500 2.000 2.125 0.08
3.375 3.500 2.125 2.250 0.12
3.375 3.500 2.250 2.375 0.15
3.375 3.500 2.375 2.500 0.17
3.375 3.500 2.500 2.625 0.19
3.375 3.500 2.625 2.750 0.20
3.375 3.500 2.750 2.875 0.21
3.375 3.500 2.875 3.000 0.22
3.375 3.500 3.000 3.125 0.22
3.375 3.500 3.125 3.250 0.22
3.375 3.500 3.250 3.375 0.20
3.375 3.500 3.375 3.500 1.00
3.375 3.500 3.500 3.625 0.19
3.375 3.500 3.625 3.750 0.16
3.375 3.500 3.750 3.875 0.13
3.375 3.500 3.875 4.000 0.10
3.375 3.500 4.000 4.250 0.08
3.375 3.500 4.250 4.500 0.02
3.500 3.625 2.000 2.125 0.07
3.500 3.625 2.125 2.250 0.10
3.500 3.625 2.250 2.375 0.12
3.500 3.625 2.375 2.500 0.14
3.500 3.625 2.500 2.625 0.16
3.500 3.625 2.625 2.750 0.17
3.500 3.625 2.750 2.875 0.18
3.500 3.625 2.875 3.000 0.19
3.500 3.625 3.000 3.125 0.19
3.500 3.625 3.125 3.250 0.20
3.500 3.625 3.250 3.375 0.18
3.500 3.625 3.375 3.500 0.19
3.500 3.625 3.500 3.625 1.00
3.500 3.625 3.625 3.750 0.15
3.500 3.625 3.750 3.875 0.12
3.500 3.625 3.875 4.000 0.09
3.500 3.625 4.000 4.250 0.07
3.500 3.625 4.250 4.500 0.02
3.625 3.750 2.000 2.125 0.06
3.625 3.750 2.125 2.250 0.08
3.625 3.750 2.250 2.375 0.10
3.625 3.750 2.375 2.500 0.11
3.625 3.750 2.500 2.625 0.13
3.625 3.750 2.625 2.750 0.14
3.625 3.750 2.750 2.875 0.15
3.625 3.750 2.875 3.000 0.16
3.625 3.750 3.000 3.125 0.16
3.625 3.750 3.125 3.250 0.17
3.625 3.750 3.250 3.375 0.16
3.625 3.750 3.375 3.500 0.16
3.625 3.750 3.500 3.625 0.15
3.625 3.750 3.625 3.750 1.00
3.625 3.750 3.750 3.875 0.11
