   100.0000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.251174E-01   4.09195      0.758832      0.727317      0.412729      0.530589      0.346103      0.196728      0.943319      0.290869      0.292269      0.199145      0.121860      0.391752E-01
  0.275406E-01   3.85613      0.750789      0.708089      0.391266      0.504191      0.359523      0.203898      0.895457      0.277934      0.279402      0.188625      0.113332      0.361645E-01
  0.301976E-01   3.62587      0.743298      0.689383      0.370264      0.478366      0.373034      0.211017      0.848630      0.265209      0.266748      0.178339      0.105055      0.332790E-01
  0.331110E-01   3.40077      0.736281      0.671128      0.349704      0.453086      0.386577      0.218041      0.802790      0.252683      0.254297      0.168278      0.970202E-01  0.305113E-01
  0.363055E-01   3.18080      0.729691      0.653281      0.329597      0.428362      0.400095      0.224919      0.757959      0.240362      0.242053      0.158447      0.892348E-01  0.278614E-01
  0.398081E-01   2.96654      0.723513      0.635832      0.310009      0.404268      0.413505      0.231564      0.714276      0.228273      0.230044      0.148881      0.817360E-01  0.253428E-01
  0.436487E-01   2.75778      0.717662      0.618701      0.290933      0.380791      0.426728      0.237910      0.671725      0.216412      0.218266      0.139575      0.745216E-01  0.229501E-01
  0.478598E-01   2.55430      0.712053      0.601812      0.272360      0.357916      0.439693      0.243896      0.630276      0.204774      0.206714      0.130526      0.675862E-01  0.206771E-01
  0.524772E-01   2.35623      0.706621      0.585102      0.254307      0.335660      0.452314      0.249443      0.589967      0.193367      0.195394      0.121741      0.609403E-01  0.185244E-01
  0.575400E-01   2.16440      0.701296      0.568509      0.236859      0.314117      0.464437      0.254392      0.550976      0.182228      0.184345      0.113264      0.546310E-01  0.165069E-01
  0.630913E-01   1.97873      0.695977      0.551937      0.220007      0.293270      0.475970      0.258666      0.513277      0.171354      0.173562      0.105091      0.486522E-01  0.146178E-01
  0.691782E-01   1.79919      0.690571      0.535300      0.203741      0.273108      0.486830      0.262192      0.476848      0.160742      0.163041      0.972153E-01  0.429993E-01  0.128513E-01
  0.758523E-01   1.62608      0.684983      0.518510      0.188083      0.253648      0.496900      0.264862      0.441731      0.150400      0.152791      0.896489E-01  0.376827E-01  0.112076E-01
  0.831703E-01   1.46063      0.679057      0.501432      0.173132      0.235001      0.505926      0.266431      0.408133      0.140376      0.142858      0.824409E-01  0.327556E-01  0.970191E-02
  0.911943E-01   1.30276      0.672676      0.483969      0.158859      0.217130      0.513817      0.266839      0.375990      0.130658      0.133229      0.755770E-01  0.282012E-01  0.832418E-02
  0.999925E-01   1.15129      0.665735      0.466006      0.145161      0.199909      0.520574      0.266097      0.345070      0.121198      0.123855      0.690037E-01  0.239634E-01  0.705037E-02
  0.109639       1.00851      0.658079      0.447488      0.132183      0.183508      0.525896      0.263980      0.315691      0.112068      0.114808      0.627942E-01  0.201153E-01  0.590547E-02
  0.120217      0.875861      0.649404      0.428210      0.120012      0.168018      0.529392      0.260192      0.288030      0.103312      0.106128      0.569905E-01  0.167001E-01  0.489975E-02
  0.131815      0.752400      0.639569      0.408114      0.108542      0.153317      0.531028      0.254797      0.261859      0.948833E-01  0.977680E-01  0.515387E-01  0.136584E-01  0.401014E-02
  0.144533      0.638953      0.628253      0.387058      0.977996E-01  0.139431      0.530453      0.247627      0.237231      0.867995E-01  0.897430E-01  0.464510E-01  0.110001E-01  0.323718E-02
  0.158477      0.535387      0.615223      0.365009      0.877419E-01  0.126310      0.527481      0.238699      0.214052      0.790452E-01  0.820362E-01  0.417040E-01  0.869666E-02  0.257014E-02
  0.173766      0.442409      0.600031      0.341863      0.783825E-01  0.113968      0.521649      0.227895      0.192351      0.716344E-01  0.746583E-01  0.373027E-01  0.674808E-02  0.200726E-02
  0.190530      0.359604      0.582389      0.317656      0.696638E-01  0.102340      0.512725      0.215316      0.172004      0.645470E-01  0.675875E-01  0.332163E-01  0.511679E-02  0.153613E-02
  0.208912      0.287432      0.561701      0.292366      0.615871E-01  0.914270E-01  0.500114      0.200939      0.153014      0.577946E-01  0.608317E-01  0.294427E-01  0.379247E-02  0.115267E-02
  0.229068      0.225129      0.537648      0.266137      0.540862E-01  0.811574E-01  0.483562      0.184980      0.135244      0.513553E-01  0.543673E-01  0.259465E-01  0.273084E-02  0.843554E-03
  0.251167      0.172807      0.509531      0.239089      0.471547E-01  0.715271E-01  0.462376      0.167562      0.118682      0.452421E-01  0.482032E-01  0.227210E-01  0.191261E-02  0.602920E-03
