   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.301969      0.283121      0.684007      0.303315      0.211704E-01  0.960447E-02  0.662837      0.293711      0.307748E-01  0.196819E-01  0.566516E-02  0.392892E-02  0.148844E-02   0.00000       0.00000    
  0.331102      0.218798      0.647052      0.266587      0.157737E-01  0.627689E-02  0.631279      0.260310      0.220506E-01  0.146809E-01  0.369978E-02  0.256944E-02  0.109283E-02   0.00000       0.00000    
  0.363046      0.163373      0.598561      0.227445      0.112785E-01  0.388307E-02  0.587283      0.223561      0.151616E-01  0.105062E-01  0.228670E-02  0.159094E-02  0.772255E-03   0.00000       0.00000    
  0.398071      0.116637      0.538473      0.187176      0.763495E-02  0.222258E-02  0.530838      0.184954      0.985753E-02  0.711650E-02  0.130722E-02  0.911693E-03  0.518455E-03   0.00000       0.00000    
  0.436476      0.789415E-01  0.466524      0.147229      0.484594E-02  0.116598E-02  0.461678      0.146063      0.601192E-02  0.451831E-02  0.684694E-03  0.478965E-03  0.327628E-03   0.00000       0.00000    
  0.478586      0.500314E-01  0.384631      0.109407      0.283759E-02  0.549076E-03  0.381793      0.108858      0.338667E-02  0.264491E-02  0.321732E-03  0.225977E-03  0.192688E-03   0.00000       0.00000    
  0.524759      0.291104E-01  0.296762      0.755440E-01  0.149625E-02  0.224773E-03  0.295265      0.753193E-01  0.172102E-02  0.139311E-02  0.131318E-03  0.927251E-04  0.103140E-03   0.00000       0.00000    
  0.575386      0.151245E-01  0.209091      0.473111E-01  0.686483E-03  0.765312E-04  0.208404      0.472345E-01  0.763014E-03  0.637706E-03  0.445289E-04  0.316594E-04  0.487767E-04   0.00000       0.00000    
  0.630897      0.672143E-02  0.129560      0.258890E-01  0.259869E-03  0.202432E-04  0.129300      0.258688E-01  0.280112E-03  0.240404E-03  0.117108E-04  0.839797E-05  0.194653E-04   0.00000       0.00000    
  0.691764      0.237747E-02  0.663147E-01  0.116293E-01  0.742716E-04  0.370900E-05  0.662404E-01  0.116256E-01  0.779806E-04  0.682014E-04  0.212832E-05  0.154024E-05  0.607016E-05   0.00000       0.00000    
  0.758504      0.581976E-03  0.249200E-01  0.380994E-02  0.135215E-04  0.373316E-06  0.249065E-01  0.380957E-02  0.138948E-04  0.122526E-04  0.212015E-06  0.153421E-06  0.126892E-05   0.00000       0.00000    
  0.831682      0.732558E-04  0.529995E-02  0.701766E-03  0.108850E-05  0.118619E-07  0.529886E-02  0.701754E-03  0.110036E-05  0.958499E-06  0.669798E-08  0.446086E-08  0.130003E-06   0.00000       0.00000    
  0.911920      0.180435E-05  0.277737E-03  0.315330E-04  0.120380E-07  -.191563E-10  0.277725E-03  0.315330E-04  0.120188E-07  0.972985E-08  -.885133E-11  -.194665E-10  0.230815E-08   0.00000       0.00000    
  0.999900      0.734264E-13  0.609572E-10  0.579104E-11  0.470812E-16  0.273692E-17  0.609571E-10  0.579104E-11  0.498181E-16  0.203248E-17  0.822385E-18  0.177976E-17  0.450487E-16   0.00000       0.00000    
