   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.208912      0.215118      0.510172      0.240964      0.343081E-01  0.355728E-01  0.475863      0.205391      0.698809E-01  0.286490E-01  0.201306E-01  0.122193E-01  0.565908E-02  0.322288E-02   0.00000    
  0.229067      0.171327      0.477540      0.215439      0.267490E-01  0.275010E-01  0.450791      0.187938      0.542500E-01  0.224529E-01  0.156298E-01  0.943284E-02  0.429606E-02  0.243830E-02   0.00000    
  0.251167      0.134204      0.441889      0.189827      0.201764E-01  0.207723E-01  0.421712      0.169054      0.409487E-01  0.169817E-01  0.118490E-01  0.711642E-02  0.319469E-02  0.180691E-02   0.00000    
  0.275399      0.102870      0.403470      0.164376      0.145183E-01  0.152241E-01  0.388952      0.149152      0.297423E-01  0.122075E-01  0.871111E-02  0.521078E-02  0.231081E-02  0.130219E-02   0.00000    
  0.301969      0.771048E-01  0.362367      0.139432      0.980261E-02  0.108149E-01  0.352564      0.128617      0.206175E-01  0.817666E-02  0.620259E-02  0.369949E-02  0.162595E-02  0.912807E-03   0.00000    
  0.331102      0.560758E-01  0.319120      0.115346      0.594643E-02  0.736635E-02  0.313174      0.107979      0.133128E-01  0.484549E-02  0.423149E-02  0.251928E-02  0.110094E-02  0.615577E-03   0.00000    
  0.363046      0.395176E-01  0.274242      0.926316E-01  0.296053E-02  0.480490E-02  0.271281      0.878267E-01  0.776543E-02  0.224326E-02  0.276185E-02  0.164364E-02  0.717269E-03  0.399405E-03   0.00000    
  0.398071      0.266469E-01  0.228665      0.716660E-01  0.742203E-03  0.294772E-02  0.227923      0.687183E-01  0.368992E-02  0.300415E-03  0.169370E-02  0.100908E-02  0.441789E-03  0.244933E-03   0.00000    
  0.436476      0.169325E-01  0.183379      0.528892E-01  -.764120E-03  0.167252E-02  0.184143      0.512167E-01  0.908397E-03  -.101638E-02  0.960341E-03  0.573179E-03  0.252262E-03  0.138998E-03   0.00000    
  0.478586      0.101660E-01  0.140027      0.369075E-01  -.160416E-02  0.876570E-03  0.141631      0.360309E-01  -.727586E-03  -.173851E-02  0.501899E-03  0.300976E-03  0.134350E-03  0.736954E-04   0.00000    
  0.524759      0.561371E-02  0.100200      0.239193E-01  -.191287E-02  0.410437E-03  0.102113      0.235088E-01  -.150243E-02  -.197725E-02  0.233961E-03  0.141286E-03  0.643839E-04  0.351907E-04   0.00000    
  0.575386      0.277272E-02  0.656617E-01  0.140538E-01  -.181527E-02  0.165491E-03  0.674769E-01  0.138883E-01  -.164978E-02  -.184203E-02  0.937345E-04  0.571419E-04  0.267606E-04  0.146146E-04   0.00000    
  0.630897      0.117287E-02  0.380118E-01  0.721220E-02  -.145174E-02  0.542209E-04  0.394636E-01  0.715798E-02  -.139752E-02  -.146083E-02  0.304478E-04  0.187765E-04  0.908641E-05  0.499652E-05   0.00000    
  0.691764      0.394953E-03  0.182964E-01  0.303796E-02  -.969709E-03  0.130507E-04  0.192661E-01  0.302490E-02  -.956658E-03  -.971968E-03  0.725004E-05  0.452024E-05  0.225968E-05  0.128042E-05   0.00000    
  0.758504      0.895234E-04  0.647678E-02  0.925556E-03  -.507420E-03  0.180375E-05  0.698420E-02  0.923752E-03  -.505616E-03  -.507724E-03  0.994932E-06  0.614351E-06  0.303819E-06  0.194465E-06   0.00000    
  0.831682      0.102638E-04  0.130603E-02  0.159155E-03  -.176681E-03  0.777941E-07  0.148272E-02  0.159077E-03  -.176603E-03  -.176687E-03  0.439652E-07  0.221533E-07  0.586658E-08  0.116756E-07   0.00000    
  0.911920      0.187647E-06  0.606563E-04  0.672927E-05  -.236615E-04  -.186562E-08  0.843178E-04  0.673113E-05  -.236634E-04  -.236605E-04  -.863471E-09  -.100361E-08  -.995045E-09  0.146648E-11   0.00000    
  0.999900      -.280627E-12  -.224570E-09  0.230664E-11  -.284016E-09  -.142814E-14  0.594462E-10  0.230807E-11  -.284018E-09  -.284016E-09  -.719630E-15  -.719728E-15  -.630757E-15  0.112135E-16   0.00000    
