!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.08000	400.		0.049	0.445	2.400	2.400	2.100	4.000	0.300	-0.200	-0.100	2.100	0.000	0.000	3.200	0.400	0.400	0.445	0.444	0.400	-0.200	0.000	1.414	0.500
0.13000	400.		0.030	0.356	2.400	2.800	1.500	4.000	1.300	-0.500	-0.500	0.400	0.000	0.000	3.200	1.500	0.800	0.356	0.356	0.300	-0.100	0.000	1.414	0.500
0.25000	400.		0.016	0.244	3.300	4.300	6.100	8.200	2.600	-0.600	-1.700	-5.300	0.000	0.000	7.500	2.800	1.900	0.244	0.244	0.200	-0.100	0.000	1.414	0.500
0.40000	400.		0.010	0.150	4.700	4.800	9.100	11.300	1.900	-0.100	-1.400	-8.800	0.000	0.000	10.300	2.000	2.500	0.150	0.150	0.200	-0.100	0.000	1.414	0.500
0.00656	500.		0.750	1.021	3.300	2.900	1.100	4.500	0.100	-0.900	0.500	0.100	0.000	0.300	3.100	0.100	0.300	1.022	0.000	0.000	0.000	0.000	1.414	0.500
0.00800	500.		0.615	1.032	3.500	3.000	1.000	4.700	-0.800	-0.100	0.300	0.200	-0.500	0.000	3.100	0.700	0.300	1.033	0.000	0.000	0.000	0.000	1.414	0.500
0.01300	500.		0.379	0.896	2.400	2.700	1.800	4.000	1.200	-1.100	0.800	0.600	-0.100	0.000	3.200	1.100	0.700	0.897	0.906	0.600	-0.400	-1.300	1.414	0.500
0.02000	500.		0.246	0.720	2.500	2.500	1.400	3.800	-0.400	-1.000	0.500	0.900	0.000	0.000	2.900	0.400	0.800	0.721	0.722	0.700	-0.400	-0.400	1.414	0.500
0.03200	500.		0.154	0.619	2.500	2.500	1.000	3.600	0.900	-0.200	0.200	0.400	0.000	0.000	2.600	0.800	0.200	0.619	0.619	0.600	-0.300	-0.100	1.414	0.500
0.05000	500.		0.098	0.536	2.600	2.800	1.700	4.200	1.600	0.100	0.000	0.800	0.000	0.000	3.300	1.600	0.100	0.536	0.536	0.500	-0.300	0.000	1.414	0.500
