   1.8000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.831745E-03  0.450519      0.269569E-04  0.539137E-04  0.269569E-04  0.539137E-04   0.00000       0.00000      0.808706E-04  0.269569E-04  0.269569E-04  0.269569E-04   0.00000       0.00000    
  0.911989E-03  0.450519      0.302046E-04  0.604092E-04  0.302046E-04  0.604092E-04   0.00000       0.00000      0.906138E-04  0.302046E-04  0.302046E-04  0.302046E-04   0.00000       0.00000    
  0.999975E-03  0.450519      0.336867E-04  0.673734E-04  0.336867E-04  0.673734E-04   0.00000       0.00000      0.101060E-03  0.336867E-04  0.336867E-04  0.336867E-04   0.00000       0.00000    
  0.109645E-02  0.450519      0.378097E-04  0.756194E-04  0.378097E-04  0.756194E-04   0.00000       0.00000      0.113429E-03  0.378097E-04  0.378097E-04  0.378097E-04   0.00000       0.00000    
  0.120223E-02  0.450519      0.423037E-04  0.846073E-04  0.423037E-04  0.846073E-04   0.00000       0.00000      0.126911E-03  0.423037E-04  0.423037E-04  0.423037E-04   0.00000       0.00000    
  0.131822E-02  0.450519      0.472377E-04  0.944753E-04  0.472377E-04  0.944753E-04   0.00000       0.00000      0.141713E-03  0.472377E-04  0.472377E-04  0.472377E-04   0.00000       0.00000    
  0.144540E-02  0.450519      0.530067E-04  0.106013E-03  0.530067E-04  0.106013E-03   0.00000       0.00000      0.159020E-03  0.530067E-04  0.530067E-04  0.530067E-04   0.00000       0.00000    
  0.158485E-02  0.450519      0.592171E-04  0.118434E-03  0.592171E-04  0.118434E-03   0.00000       0.00000      0.177651E-03  0.592171E-04  0.592171E-04  0.592171E-04   0.00000       0.00000    
  0.173775E-02  0.450518      0.662826E-04  0.132565E-03  0.662826E-04  0.132565E-03   0.00000       0.00000      0.198848E-03  0.662826E-04  0.662826E-04  0.662826E-04   0.00000       0.00000    
  0.190540E-02  0.450518      0.742743E-04  0.148549E-03  0.742743E-04  0.148549E-03   0.00000       0.00000      0.222823E-03  0.742743E-04  0.742743E-04  0.742743E-04   0.00000       0.00000    
  0.208923E-02  0.450518      0.828449E-04  0.165690E-03  0.828449E-04  0.165690E-03   0.00000       0.00000      0.248535E-03  0.828449E-04  0.828449E-04  0.828449E-04   0.00000       0.00000    
  0.229079E-02  0.450518      0.929619E-04  0.185924E-03  0.929619E-04  0.185924E-03   0.00000       0.00000      0.278886E-03  0.929619E-04  0.929619E-04  0.929619E-04   0.00000       0.00000    
  0.251180E-02  0.450518      0.104019E-03  0.208038E-03  0.104019E-03  0.208038E-03   0.00000       0.00000      0.312057E-03  0.104019E-03  0.104019E-03  0.104019E-03   0.00000       0.00000    
  0.275413E-02  0.450518      0.116125E-03  0.232249E-03  0.116125E-03  0.232249E-03   0.00000       0.00000      0.348374E-03  0.116125E-03  0.116125E-03  0.116125E-03   0.00000       0.00000    
  0.301984E-02  0.450518      0.130314E-03  0.260628E-03  0.130314E-03  0.260628E-03   0.00000       0.00000      0.390941E-03  0.130314E-03  0.130314E-03  0.130314E-03   0.00000       0.00000    
  0.331118E-02  0.450518      0.145592E-03  0.291184E-03  0.145592E-03  0.291184E-03   0.00000       0.00000      0.436776E-03  0.145592E-03  0.145592E-03  0.145592E-03   0.00000       0.00000    
  0.363064E-02  0.450518      0.162922E-03  0.325845E-03  0.162922E-03  0.325845E-03   0.00000       0.00000      0.488767E-03  0.162922E-03  0.162922E-03  0.162922E-03   0.00000       0.00000    
  0.398091E-02  0.450517      0.182574E-03  0.365148E-03  0.182574E-03  0.365148E-03   0.00000       0.00000      0.547722E-03  0.182574E-03  0.182574E-03  0.182574E-03   0.00000       0.00000    
  0.436498E-02  0.450517      0.203654E-03  0.407309E-03  0.203654E-03  0.407309E-03   0.00000       0.00000      0.610963E-03  0.203654E-03  0.203654E-03  0.203654E-03   0.00000       0.00000    
  0.478610E-02  0.450517      0.228460E-03  0.456919E-03  0.228460E-03  0.456919E-03   0.00000       0.00000      0.685379E-03  0.228460E-03  0.228460E-03  0.228460E-03   0.00000       0.00000    
  0.524785E-02  0.450517      0.255641E-03  0.511283E-03  0.255641E-03  0.511283E-03   0.00000       0.00000      0.766924E-03  0.255641E-03  0.255641E-03  0.255641E-03   0.00000       0.00000    
  0.575415E-02  0.450517      0.285315E-03  0.570630E-03  0.285315E-03  0.570630E-03   0.00000       0.00000      0.855945E-03  0.285315E-03  0.285315E-03  0.285315E-03   0.00000       0.00000    
  0.630929E-02  0.450516      0.320177E-03  0.640353E-03  0.320177E-03  0.640353E-03   0.00000       0.00000      0.960530E-03  0.320177E-03  0.320177E-03  0.320177E-03   0.00000       0.00000    
  0.691799E-02  0.450516      0.357720E-03  0.715440E-03  0.357720E-03  0.715440E-03   0.00000       0.00000      0.107316E-02  0.357720E-03  0.357720E-03  0.357720E-03   0.00000       0.00000    
  0.758542E-02  0.450516      0.400175E-03  0.800349E-03  0.400175E-03  0.800349E-03   0.00000       0.00000      0.120052E-02  0.400175E-03  0.400175E-03  0.400175E-03   0.00000       0.00000    
  0.831724E-02  0.450515      0.448431E-03  0.896862E-03  0.448431E-03  0.896862E-03   0.00000       0.00000      0.134529E-02  0.448431E-03  0.448431E-03  0.448431E-03   0.00000       0.00000    
  0.911966E-02  0.450515      0.500204E-03  0.100041E-02  0.500204E-03  0.100041E-02   0.00000       0.00000      0.150061E-02  0.500204E-03  0.500204E-03  0.500204E-03   0.00000       0.00000    
  0.999950E-02  0.450515      0.560920E-03  0.112184E-02  0.560920E-03  0.112184E-02   0.00000       0.00000      0.168276E-02  0.560920E-03  0.560920E-03  0.560920E-03   0.00000       0.00000    
  0.109642E-01  0.450514      0.625986E-03  0.125197E-02  0.625986E-03  0.125197E-02   0.00000       0.00000      0.187796E-02  0.625986E-03  0.625986E-03  0.625986E-03   0.00000       0.00000    
  0.120220E-01  0.450514      0.699911E-03  0.139982E-02  0.699911E-03  0.139982E-02   0.00000       0.00000      0.209973E-02  0.699911E-03  0.699911E-03  0.699911E-03   0.00000       0.00000    
  0.131819E-01  0.450513      0.783003E-03  0.156601E-02  0.783003E-03  0.156601E-02   0.00000       0.00000      0.234901E-02  0.783003E-03  0.783003E-03  0.783003E-03   0.00000       0.00000    
  0.144536E-01  0.450513      0.876276E-03  0.175255E-02  0.876276E-03  0.175255E-02   0.00000       0.00000      0.262883E-02  0.876276E-03  0.876276E-03  0.876276E-03   0.00000       0.00000    
  0.158481E-01  0.450512      0.980109E-03  0.196022E-02  0.980109E-03  0.196022E-02   0.00000       0.00000      0.294033E-02  0.980109E-03  0.980109E-03  0.980109E-03   0.00000       0.00000    
  0.173770E-01  0.450511      0.109565E-02  0.219131E-02  0.109565E-02  0.219131E-02   0.00000       0.00000      0.328696E-02  0.109565E-02  0.109565E-02  0.109565E-02   0.00000       0.00000    
  0.190535E-01  0.450511      0.122557E-02  0.245114E-02  0.122557E-02  0.245114E-02   0.00000       0.00000      0.367671E-02  0.122557E-02  0.122557E-02  0.122557E-02   0.00000       0.00000    
  0.208917E-01  0.450510      0.137126E-02  0.274252E-02  0.137126E-02  0.274252E-02   0.00000       0.00000      0.411377E-02  0.137126E-02  0.137126E-02  0.137126E-02   0.00000       0.00000    
  0.229073E-01  0.450509      0.153338E-02  0.306675E-02  0.153338E-02  0.306675E-02   0.00000       0.00000      0.460013E-02  0.153338E-02  0.153338E-02  0.153338E-02   0.00000       0.00000    
  0.251174E-01  0.450508      0.171370E-02  0.342740E-02  0.171370E-02  0.342740E-02   0.00000       0.00000      0.514110E-02  0.171370E-02  0.171370E-02  0.171370E-02   0.00000       0.00000    
  0.275406E-01  0.450506      0.191650E-02  0.383300E-02  0.191650E-02  0.383300E-02   0.00000       0.00000      0.574949E-02  0.191650E-02  0.191650E-02  0.191650E-02   0.00000       0.00000    
  0.301976E-01  0.450505      0.214363E-02  0.428727E-02  0.214363E-02  0.428727E-02   0.00000       0.00000      0.643090E-02  0.214363E-02  0.214363E-02  0.214363E-02   0.00000       0.00000    
  0.331110E-01  0.450504      0.239624E-02  0.479248E-02  0.239624E-02  0.479248E-02   0.00000       0.00000      0.718872E-02  0.239624E-02  0.239624E-02  0.239624E-02   0.00000       0.00000    
  0.363055E-01  0.450502      0.267704E-02  0.535409E-02  0.267704E-02  0.535409E-02   0.00000       0.00000      0.803113E-02  0.267704E-02  0.267704E-02  0.267704E-02   0.00000       0.00000    
  0.398081E-01  0.450501      0.299282E-02  0.598564E-02  0.299282E-02  0.598564E-02   0.00000       0.00000      0.897846E-02  0.299282E-02  0.299282E-02  0.299282E-02   0.00000       0.00000    
  0.436487E-01  0.450499      0.334597E-02  0.669195E-02  0.334597E-02  0.669195E-02   0.00000       0.00000      0.100379E-01  0.334597E-02  0.334597E-02  0.334597E-02   0.00000       0.00000    
  0.478598E-01  0.450497      0.373840E-02  0.747679E-02  0.373840E-02  0.747679E-02   0.00000       0.00000      0.112152E-01  0.373840E-02  0.373840E-02  0.373840E-02   0.00000       0.00000    
  0.524772E-01  0.450494      0.417421E-02  0.834843E-02  0.417421E-02  0.834843E-02   0.00000       0.00000      0.125226E-01  0.417421E-02  0.417421E-02  0.417421E-02   0.00000       0.00000    
  0.575400E-01  0.450492      0.466408E-02  0.932817E-02  0.466408E-02  0.932817E-02   0.00000       0.00000      0.139923E-01  0.466408E-02  0.466408E-02  0.466408E-02   0.00000       0.00000    
